ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,86449.4
1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,91955.6
1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,83281.6
0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,88873.2
1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,91970.4
0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,80362.8
0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,82595.2
1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,81141.0
0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,79074.6
1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,93906.6
0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,65071.2
0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,82065.2
0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,78716.0
1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,86136.8
0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,84674.6
1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,94742.0
1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,88104.6
0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,80993.8
1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,75772.2
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,59208.0
1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,75720.0
0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,64306.0
1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,71265.0
1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,86533.8
0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,93104.0
0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,89812.8
1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,92510.6
1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,71174.2
0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,67632.4
0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,69661.0
1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,89698.6
0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,75031.0
0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,77417.2
0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,80585.4
0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,77722.0
