new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,2,1,0,1,1,1024,9,165.7104
0,2,2,2,1,0,4096,5,163.342
1,0,1,0,1,0,512,9,337.4748
1,1,2,2,1,1,4096,5,337.4748
0,0,1,1,1,1,4096,5,337.4748
0,2,1,2,0,0,2048,9,337.4748
0,0,1,2,1,0,2048,0,337.4748
0,0,2,1,0,0,2048,0,164.7834
0,1,2,1,1,0,4096,0,32.1888
0,2,1,2,0,0,1024,5,337.4748
1,0,2,1,1,1,1024,0,165.3652
0,0,1,0,1,1,1024,5,337.4748
0,0,1,2,0,1,512,1,337.4748
0,1,1,1,0,1,512,5,337.4748
1,2,1,0,0,1,2048,5,167.3886
0,1,2,1,0,0,4096,0,32.8414
1,1,2,1,0,1,4096,0,33.1188
1,0,1,1,1,0,4096,9,337.4748
1,0,2,1,1,1,512,5,337.4748
1,1,1,0,1,0,2048,9,337.4748
1,1,2,1,1,0,2048,0,32.3072
1,2,2,2,0,1,1024,1,166.767
0,2,1,0,0,1,512,1,166.8656
0,0,2,2,0,0,2048,1,337.4748
0,1,2,1,0,1,512,9,337.4748
0,2,2,1,0,1,512,1,166.5214
0,2,1,0,0,0,512,1,167.1056
1,1,1,0,0,0,512,5,337.4748
0,2,2,2,1,0,1024,0,337.4748
0,2,2,1,0,1,2048,9,165.4474
0,1,2,2,0,1,4096,5,337.4748
0,0,2,0,0,0,4096,9,337.4748
0,2,2,2,1,0,1024,5,163.9968
1,0,2,2,1,0,4096,5,337.4748
0,0,2,2,1,1,4096,9,337.4748
0,1,2,2,0,0,4096,0,31.4676
0,0,2,1,1,0,2048,0,162.921
0,0,1,2,1,1,2048,1,337.4748
1,1,2,2,1,0,4096,0,31.862
0,2,1,2,0,0,512,1,337.4748
0,0,2,2,0,1,512,5,337.4748
0,0,1,0,1,0,1024,5,337.4748
1,2,2,2,0,0,2048,0,337.4748
0,0,1,0,1,0,1024,1,337.4748
1,2,1,0,1,0,2048,0,337.4748
1,0,1,0,0,0,1024,0,168.0676
0,2,2,1,0,1,1024,9,164.7082
1,0,2,2,1,1,2048,9,337.4748
1,2,2,2,0,1,512,0,337.4748
0,1,2,1,1,0,2048,0,31.9244
0,0,2,1,1,0,2048,1,337.4748
0,2,2,0,0,0,512,5,162.6548
0,0,2,2,1,1,2048,0,165.5004
0,2,2,0,0,1,2048,5,163.1684
0,1,2,2,0,1,4096,0,31.9772
0,1,1,1,0,0,2048,0,337.4748
0,1,2,2,0,0,1024,1,337.4748
0,0,1,1,0,0,1024,5,337.4748
0,0,2,2,1,0,512,5,337.4748
1,0,2,2,1,0,1024,9,337.4748
0,0,2,2,0,1,2048,5,337.4748
1,1,2,2,0,1,2048,1,337.4748
1,0,2,0,1,1,512,0,165.6214
1,0,1,2,0,1,4096,5,337.4748
1,1,1,1,1,1,4096,9,337.4748
1,1,2,1,0,0,1024,9,337.4748
1,2,2,1,1,1,1024,0,337.4748
0,1,2,0,1,0,4096,1,337.4748
1,2,2,1,1,1,512,5,165.232
0,2,1,0,0,0,2048,0,337.4748
1,1,1,1,1,1,1024,9,337.4748
0,1,2,2,0,1,1024,0,31.926
0,1,2,0,0,1,512,1,337.4748
1,0,2,1,0,0,512,1,337.4748
0,0,1,0,0,1,4096,9,337.4748
1,1,2,1,1,0,1024,0,32.2274
0,0,1,1,1,0,4096,1,337.4748
1,0,1,1,1,1,2048,0,337.4748
0,2,2,2,0,1,512,1,164.987
1,2,2,0,1,0,4096,9,165.358
1,1,1,0,1,1,2048,1,337.4748
1,0,2,1,1,1,4096,0,167.7684
0,1,1,0,1,1,1024,5,337.4748
1,1,2,2,0,1,512,9,337.4748
0,0,1,0,0,1,2048,1,337.4748
1,0,1,2,1,0,1024,1,337.4748
1,0,1,0,0,1,1024,5,337.4748
1,2,2,0,1,1,1024,1,164.6092
1,2,1,2,1,1,1024,0,337.4748
1,2,2,0,1,1,512,0,337.4748
0,1,1,1,1,1,1024,0,337.4748
1,1,1,2,0,0,512,1,337.4748
1,2,1,2,1,0,512,9,337.4748
1,2,1,2,1,0,1024,9,337.4748
0,0,2,2,0,0,512,9,337.4748
1,2,2,1,1,1,2048,5,165.1948
1,2,2,2,0,0,4096,1,167.5774
1,0,1,2,1,1,1024,5,337.4748
1,0,2,2,1,0,1024,1,337.4748
0,2,2,0,0,0,1024,9,164.7506
