ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,91546.6
1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,79021.0
1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,98103.8
0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,70315.0
1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,72848.2
0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,84118.2
1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,85858.6
0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,72769.0
1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,75317.8
1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,85681.0
1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,73423.6
1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,86440.4
0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,84817.2
1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,60853.8
1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,69870.2
1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,66281.8
0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,71190.0
1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,95471.0
0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,76573.0
0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,77236.8
0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,76414.4
0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,84978.6
1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,80247.6
1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,89912.8
0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,82193.2
0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,73872.6
0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,75129.6
1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,77061.2
0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,77333.2
1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,71734.2
1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,81615.6
1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,75269.4
0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,77498.8
1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,70020.0
0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,64225.6
1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,73225.6
0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,70773.0
1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,70490.0
0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,65596.4
0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,64240.0
1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,87670.0
1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,88152.6
0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,77793.8
0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,89261.0
0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,63212.8
1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,84786.0
0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,86173.6
1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,74281.2
1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,80994.0
1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,86291.6
0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,65951.0
0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,90237.2
0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,74256.8
0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,65199.2
1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,83273.6
0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,67120.4
0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,71591.6
1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,71445.4
0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,70443.2
1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,68921.8
1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,86447.8
0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,65305.2
1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,73052.0
0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,85901.4
1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,76510.2
0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,68016.0
1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,74526.2
0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,86710.0
0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,82828.6
1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,95245.6
0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,80781.0
0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,88079.0
0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,93804.8
1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,84963.6
0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,80632.0
1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,78218.2
0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,70647.8
0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,65527.2
1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,69203.8
1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,86247.6
1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,75451.6
1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,63214.8
1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,83587.8
0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,67957.0
0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,81779.8
0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,69460.0
1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,84287.0
0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,64733.8
0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,77045.4
1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,73626.4
