new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
4,1,0,1,0,50,2048,6,49652.2
2,1,0,0,0,30,256,4,4596.8
3,1,1,0,1,50,128,10,48765.0
2,0,0,0,0,60,1,4,14767.2
3,0,0,1,0,80,32,4,12134.6
5,1,1,1,1,30,1,6,47127.6
1,0,1,1,1,10,8,0,17688.4
5,0,1,0,1,80,256,2,9184.4
3,0,0,1,0,70,2048,0,12367.8
5,0,1,1,0,70,4,8,121262.6
2,1,1,0,0,10,16,4,5540.4
2,0,0,1,0,40,4,4,12490.6
1,0,1,1,1,100,2048,8,102668.0
4,1,1,0,1,70,4096,8,39539.8
4,0,0,1,0,0,2,0,35528.2
1,1,1,1,1,40,1,6,116251.2
5,1,1,0,1,90,64,10,300825.6
5,1,0,1,1,40,4096,4,9158.0
3,1,1,0,1,30,128,4,12132.6
1,0,1,1,0,90,2048,10,103022.2
4,0,0,1,0,70,16,10,416191.2
4,0,0,1,1,30,256,2,35770.4
2,1,0,1,1,20,512,0,17660.0
3,0,0,0,0,80,2048,6,10785.6
1,1,0,1,0,60,256,4,11756.0
5,0,0,1,1,10,16,0,9153.4
3,1,0,1,0,20,1024,4,12075.2
4,1,1,0,0,0,512,4,22096.8
1,1,0,0,1,80,256,0,17769.4
5,1,1,0,0,10,128,4,9186.6
1,0,1,0,1,70,512,4,11766.4
4,0,0,1,0,30,64,6,49074.2
4,1,0,0,0,0,512,4,22085.0
4,0,1,0,0,0,256,8,76048.4
2,1,0,1,0,40,2048,2,17654.8
5,1,0,1,0,60,64,10,302135.0
1,0,0,1,0,50,2,0,17694.6
1,0,0,0,1,0,1,6,82125.6
5,1,0,0,0,40,4096,6,47547.6
1,1,1,1,0,70,4,2,17670.6
5,1,0,1,0,20,1,0,9178.0
3,0,0,0,1,80,256,2,12110.8
3,1,1,0,0,20,32,0,12074.8
4,0,1,1,0,100,128,2,35899.4
1,1,1,0,1,50,4096,4,11785.4
3,1,1,1,1,50,1024,8,38078.6
1,0,1,1,0,40,8,6,98916.8
5,0,1,0,1,80,1024,10,298395.2
1,0,0,1,0,90,32,8,103539.8
2,0,1,0,0,50,256,6,89299.6
4,0,1,1,0,0,512,10,421335.2
4,1,0,1,1,20,256,4,43321.4
4,0,0,1,0,30,256,4,43633.2
3,1,1,1,1,90,4096,6,10738.2
1,1,0,0,0,70,2048,2,17689.4
2,0,0,1,0,20,512,0,17764.2
5,0,1,1,1,80,512,10,299331.0
3,0,1,0,0,60,2048,2,12132.0
5,0,1,0,0,0,1024,10,298453.4
3,0,0,0,1,40,8,6,12073.4
2,1,1,1,0,0,256,10,131876.0
5,0,1,0,1,60,4,10,300036.8
5,0,0,1,0,60,512,10,301830.0
1,1,0,0,0,60,128,8,101708.6
5,0,1,0,0,60,1024,4,9149.4
2,0,0,1,1,80,512,2,17710.8
3,1,0,0,1,80,512,6,10662.0
2,1,1,0,0,0,2048,8,84858.8
3,1,1,0,0,70,32,10,48532.2
5,0,0,1,0,90,4,6,47512.2
5,0,0,1,0,80,128,10,299617.4
3,0,0,1,1,0,16,2,15905.8
5,0,0,0,0,60,16,10,300448.8
1,0,0,0,1,70,128,4,11792.6
3,1,1,0,0,70,32,2,12242.4
4,1,0,1,0,70,1,4,42764.6
1,0,1,0,0,80,16,10,94979.8
4,0,0,1,0,30,32,2,35691.0
1,0,0,0,0,90,256,8,100548.2
5,1,1,0,1,90,2,4,9114.4
3,0,1,0,0,60,8,4,12408.2
2,0,1,0,1,10,16,2,5893.6
1,0,1,1,1,10,1,10,125687.0
2,0,1,1,0,50,32,4,11921.6
4,0,1,1,0,70,16,0,35651.8
3,1,0,1,1,10,2048,6,11706.6
3,0,1,1,1,80,4,10,46605.4
5,0,0,0,1,60,1024,6,47705.4
1,1,1,1,0,0,32,8,131548.6
4,0,0,0,0,80,4,2,9354.8
1,0,0,0,0,80,1,0,17622.8
3,1,0,0,0,90,4096,4,12481.2
1,0,1,0,1,90,128,6,89005.6
3,1,0,1,1,10,128,8,39384.6
4,0,0,1,0,50,128,4,43589.4
3,0,0,1,1,70,1024,8,37954.6
4,0,1,1,0,0,8,2,35169.8
2,0,0,0,1,80,4,4,11958.4
1,1,0,1,1,10,4096,4,12412.6
3,0,1,0,1,10,256,2,12290.0
