ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,75351.0
0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,81171.6
0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,86576.8
0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,94595.4
1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,77798.2
0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,79656.0
1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,83330.4
1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,81195.4
1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,65381.2
1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,68511.6
1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,87735.6
0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,79240.4
1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,84226.0
0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,89092.6
1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,87062.4
0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,91495.0
0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,86407.2
1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,73109.4
1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,81356.6
1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,80855.0
0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,80219.2
0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,64041.4
0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,65191.0
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,75707.4
0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,82865.8
0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,70801.0
1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,85654.4
1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,97111.6
1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,77062.4
1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,81861.4
0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,68897.2
1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,76568.0
0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,73618.8
1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,63845.2
0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,80464.0
0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,85128.4
1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,86657.2
1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,78878.4
0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,82474.2
0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,84621.8
1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,81268.4
1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,88854.4
1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,73074.4
0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,68878.4
0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,69966.2
1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,75959.4
0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,82212.0
1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,94743.6
0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,87074.6
0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,89884.0
1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,65043.0
1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,82997.2
0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,85161.4
1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,72068.8
0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,90197.0
0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,81340.8
0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,67689.4
1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,78924.2
0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,89820.6
1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,87441.4
0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,81487.4
0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,61411.4
1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,86737.8
1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,88823.2
1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,78966.6
1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,79936.2
1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,84061.6
0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,79736.2
0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,92074.0
0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,68418.8
1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,84622.4
1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,63973.0
0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,86709.4
0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,77910.2
1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,73649.8
0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,100141.4
1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,73223.8
0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,71617.6
0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,85114.8
1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,85844.2
0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,82576.4
1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,89534.6
0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,59919.2
0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,70306.2
1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,90046.2
0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,60135.4
0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,95689.2
0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,87622.2
1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,77854.2
1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,67926.4
1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,89124.4
1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,69993.4
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,61864.6
0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,84308.8
1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,90117.6
0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,78419.4
0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,86202.4
1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,84066.2
0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,91891.6
1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,78976.4
