new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,0,1,0,1,1,2048,9,337.4748
1,2,2,1,0,1,2048,9,167.7058
1,2,1,0,0,0,2048,5,166.5024
0,1,1,2,1,1,1024,1,337.4748
0,2,1,0,0,1,1024,0,337.4748
1,2,1,2,0,0,2048,9,337.4748
0,0,2,2,0,0,1024,9,337.4748
0,1,2,1,0,0,2048,5,337.4748
0,1,2,2,1,0,512,9,337.4748
0,0,2,1,1,1,1024,0,166.5828
1,1,1,0,0,0,2048,1,337.4748
0,2,2,0,1,0,2048,1,164.565
1,2,2,0,0,1,512,0,337.4748
0,1,2,2,1,0,2048,5,337.4748
0,2,1,2,0,0,512,1,337.4748
1,1,1,1,0,0,2048,9,337.4748
0,2,2,1,1,0,512,0,337.4748
1,0,1,2,0,1,512,1,337.4748
1,2,1,0,0,1,1024,0,337.4748
0,2,2,1,1,1,1024,9,165.3228
0,2,1,2,1,0,2048,1,337.4748
0,0,2,1,0,0,2048,5,337.4748
0,1,2,1,0,1,2048,9,337.4748
0,1,2,0,1,1,2048,0,32.3634
1,1,2,2,1,1,2048,9,337.4748
1,0,1,1,0,1,1024,1,337.4748
0,2,1,2,0,0,1024,1,337.4748
1,1,1,0,0,0,4096,5,337.4748
1,2,1,2,1,1,512,5,337.4748
1,0,1,0,1,1,1024,0,167.7914
0,2,2,2,1,0,512,5,163.9568
1,2,1,0,0,0,4096,0,337.4748
0,2,1,1,0,0,512,5,337.4748
1,1,1,1,1,0,1024,9,337.4748
1,1,2,0,0,0,4096,9,337.4748
1,1,1,2,0,1,512,1,337.4748
1,0,2,2,0,1,4096,5,337.4748
0,0,2,0,1,1,2048,5,337.4748
1,2,2,0,0,0,2048,5,164.8898
1,2,1,0,0,1,4096,9,166.3842
0,1,1,1,1,1,1024,1,337.4748
1,0,1,0,0,0,2048,5,337.4748
0,1,1,1,1,0,1024,9,337.4748
1,2,1,2,1,0,1024,0,337.4748
1,2,2,1,1,0,2048,1,167.6088
1,2,2,1,1,1,512,0,337.4748
1,1,2,1,1,1,2048,0,33.1484
1,0,1,1,0,0,1024,1,337.4748
1,2,1,0,0,0,4096,1,165.9102
1,0,2,2,1,1,512,1,337.4748
1,1,1,1,0,0,512,0,337.4748
1,2,2,0,1,0,2048,5,165.683
0,1,2,2,0,1,512,1,337.4748
0,2,1,1,0,1,512,9,337.4748
1,0,1,1,1,0,2048,1,337.4748
0,0,1,1,1,1,1024,0,337.4748
0,1,2,1,0,1,512,5,337.4748
0,2,1,0,1,1,1024,0,337.4748
1,1,1,2,1,1,4096,1,337.4748
1,0,1,2,1,0,512,0,337.4748
1,0,2,0,1,1,512,1,337.4748
1,1,1,1,1,0,2048,9,337.4748
1,0,2,2,0,0,1024,1,337.4748
1,2,1,0,1,0,512,5,168.1308
0,2,1,0,1,1,4096,0,337.4748
0,2,1,2,1,1,1024,9,337.4748
0,1,1,1,0,0,1024,0,337.4748
0,2,2,0,0,1,4096,5,165.3656
0,0,1,1,1,0,512,0,337.4748
0,2,2,2,1,1,512,9,164.4566
1,2,2,1,1,0,1024,1,163.8996
0,2,2,2,0,1,2048,5,165.8012
1,2,1,2,1,0,512,1,337.4748
0,1,2,0,0,1,4096,1,337.4748
0,1,2,0,0,0,512,0,31.3186
1,1,1,1,0,1,4096,1,337.4748
0,0,1,1,1,1,1024,0,337.4748
1,2,2,2,1,1,512,1,163.6666
0,1,1,0,0,1,1024,1,337.4748
0,1,1,1,1,0,4096,5,337.4748
0,2,1,0,1,0,512,5,166.5048
1,2,2,1,1,1,2048,0,337.4748
1,2,2,0,0,0,1024,0,337.4748
1,2,1,1,1,0,1024,5,337.4748
1,1,2,2,1,0,2048,5,337.4748
1,0,1,0,0,1,1024,9,337.4748
0,2,1,0,0,1,512,1,166.8656
1,0,1,1,0,1,2048,5,337.4748
1,0,2,0,1,1,512,1,337.4748
1,2,1,1,0,1,512,9,337.4748
1,0,2,2,1,1,512,9,337.4748
1,1,2,2,0,1,2048,5,337.4748
1,0,2,0,0,0,1024,0,165.4556
0,0,1,2,0,1,1024,1,337.4748
0,0,2,0,0,0,4096,9,337.4748
0,2,1,1,1,1,1024,9,337.4748
1,2,1,0,1,1,1024,0,337.4748
1,2,1,1,0,1,4096,9,337.4748
0,1,2,1,0,1,512,0,31.4648
1,0,2,0,1,1,4096,5,337.4748
