new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
1,0,1,2,1,0,512,9,337.4748
0,1,2,1,1,0,512,0,31.03
1,1,2,0,0,0,512,9,337.4748
0,2,1,2,0,0,512,0,337.4748
0,1,1,1,0,0,4096,9,337.4748
0,0,2,1,1,1,4096,5,337.4748
0,2,1,1,0,0,512,5,337.4748
1,1,2,2,1,1,512,5,337.4748
0,0,2,0,1,1,2048,1,337.4748
0,1,2,2,0,0,4096,5,337.4748
1,0,1,1,1,0,1024,0,337.4748
1,1,2,0,1,1,512,5,337.4748
0,1,1,1,1,1,2048,0,337.4748
0,2,2,1,1,0,1024,5,166.7586
1,0,1,1,0,0,1024,5,337.4748
1,0,1,2,0,0,4096,5,337.4748
0,2,2,1,1,0,2048,0,337.4748
1,1,2,1,0,1,4096,0,33.1188
0,1,1,2,0,1,1024,9,337.4748
0,0,1,2,1,0,512,9,337.4748
0,1,2,1,0,1,1024,9,337.4748
0,2,2,2,0,0,2048,9,165.4222
1,2,2,0,1,1,512,0,337.4748
1,1,2,0,0,0,1024,1,337.4748
0,1,1,1,1,0,512,9,337.4748
1,1,1,1,1,1,2048,9,337.4748
0,2,2,2,0,0,2048,9,165.4222
1,1,2,2,1,0,4096,1,337.4748
0,0,2,2,0,1,2048,9,337.4748
1,2,2,1,1,1,4096,5,165.7712
1,1,1,0,0,0,4096,1,337.4748
1,1,2,2,1,1,2048,9,337.4748
0,2,2,0,0,1,512,1,164.4762
1,0,1,0,0,1,4096,1,337.4748
0,0,1,2,1,0,1024,5,337.4748
0,1,1,0,1,0,4096,1,337.4748
1,2,2,1,0,1,4096,9,165.2772
0,1,1,0,0,0,1024,0,32.268
1,2,1,2,1,1,2048,5,337.4748
1,1,1,0,1,0,2048,1,337.4748
0,2,1,1,0,1,4096,0,337.4748
1,1,1,0,0,0,2048,9,337.4748
0,2,1,0,0,1,2048,0,337.4748
1,1,1,0,1,1,2048,0,32.7488
1,2,2,1,1,0,512,9,165.0922
1,1,1,0,1,1,512,1,337.4748
0,0,2,2,1,1,4096,9,337.4748
1,2,1,1,0,1,512,1,337.4748
1,2,1,2,0,0,2048,0,337.4748
1,0,1,0,1,1,4096,1,337.4748
0,0,2,0,0,1,512,0,162.9272
0,0,2,1,0,1,2048,5,337.4748
0,2,1,2,1,0,512,9,337.4748
0,1,2,0,0,0,512,0,31.3186
0,0,1,1,1,0,4096,5,337.4748
0,0,2,0,1,0,4096,5,337.4748
1,2,1,2,1,0,2048,5,337.4748
0,2,2,0,1,0,4096,9,166.0144
0,0,2,2,0,1,4096,5,337.4748
0,0,1,0,1,0,4096,1,337.4748
0,2,1,0,0,0,512,5,166.6212
1,0,2,0,1,1,512,9,337.4748
0,1,2,1,1,1,2048,9,337.4748
0,1,1,2,1,1,512,0,337.4748
1,1,1,2,0,1,2048,0,337.4748
1,1,2,0,0,0,4096,0,31.1622
0,1,2,1,0,0,4096,0,32.8414
0,1,2,0,0,1,1024,0,32.209
1,1,2,1,1,1,512,1,337.4748
0,2,2,2,0,1,4096,9,164.142
1,0,2,1,1,1,2048,9,337.4748
1,2,1,0,1,0,2048,9,166.901
0,0,2,2,1,0,1024,5,337.4748
1,0,1,0,0,1,4096,0,166.5042
0,2,2,2,1,1,4096,9,165.688
1,0,2,2,1,0,512,5,337.4748
0,1,2,2,0,0,1024,1,337.4748
0,2,2,1,0,0,1024,0,337.4748
1,0,2,2,1,0,2048,0,165.18
1,1,2,1,1,0,4096,0,32.9028
0,1,1,2,1,1,2048,9,337.4748
0,2,1,2,0,1,512,1,337.4748
1,2,1,0,0,1,4096,9,166.3842
1,1,1,1,1,1,512,1,337.4748
1,0,1,0,1,0,2048,1,337.4748
0,0,2,2,1,0,2048,9,337.4748
1,0,2,0,0,1,4096,9,337.4748
0,0,1,1,0,1,512,5,337.4748
0,0,1,1,1,0,512,5,337.4748
0,0,2,1,0,1,2048,5,337.4748
0,2,1,0,1,0,2048,9,166.2336
1,2,1,2,1,1,4096,9,337.4748
1,1,1,0,0,0,2048,5,337.4748
0,2,2,0,1,0,2048,1,164.565
1,0,2,0,1,1,512,0,165.6214
0,0,1,2,0,1,4096,5,337.4748
1,1,2,1,0,1,4096,0,33.1188
0,1,1,1,0,1,512,5,337.4748
1,1,2,2,1,1,2048,5,337.4748
0,0,1,2,1,0,4096,9,337.4748
