WindowSize,CompressionLevel,Performance
10,11,363.346
20,0,1.63
24,4,2.708
12,5,3.746
11,0,1.526
24,6,10.176
14,4,2.894
22,5,7.198
15,2,1.972
11,2,1.998
20,4,2.808
13,1,1.514
11,1,1.526
16,9,9.094
13,0,1.514
12,0,1.528
19,2,2.1
12,6,3.846
11,4,3.04
19,11,258.502
11,9,6.286
16,3,2.508
23,7,20.474
19,5,7.372
24,3,2.478
16,4,2.77
19,3,2.552
15,0,1.534
24,9,108.602
12,1,1.542
13,3,2.37
23,2,2.032
12,9,6.47
20,6,10.658
17,10,307.144
13,7,5.554
13,9,6.862
22,8,25.432
17,11,307.42
15,7,6.39
11,5,3.49
20,1,1.636
13,11,315.078
13,11,315.078
17,1,1.612
17,0,1.606
19,7,10.05
23,8,37.284
16,5,5.392
16,2,2.026
23,11,315.238
19,10,258.558
17,2,2.102
15,9,8.084
16,5,5.392
24,7,20.228
22,2,2.05
19,4,2.8
23,3,2.478
10,10,363.364
21,0,1.604
15,9,8.084
16,3,2.508
16,4,2.77
11,11,343.996
11,0,1.526
12,7,5.266
24,3,2.478
17,11,307.42
11,2,1.998
14,0,1.472
23,0,1.556
19,2,2.1
21,2,2.06
17,9,10.152
21,4,2.768
22,2,2.05
20,10,246.512
23,7,20.474
16,3,2.508
22,4,2.748
14,2,1.9
17,4,2.848
22,4,2.748
10,2,2.146
23,3,2.478
17,8,8.454
18,1,1.63
16,3,2.508
23,9,63.68
18,6,7.51
21,8,18.874
16,5,5.392
16,8,7.548
21,7,15.806
23,5,7.178
16,1,1.598
21,4,2.768
11,4,3.04
13,6,4.3
