new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
1,0,0,0,1,40,256,10,101615.2
3,1,0,1,1,40,64,4,12140.6
2,0,0,0,0,60,256,2,4746.6
3,1,1,0,0,30,64,10,48833.2
1,1,0,0,1,20,16,4,12073.2
4,0,1,0,0,70,1024,2,8896.6
4,0,0,1,0,60,16,6,49562.8
3,0,0,1,1,20,64,8,38351.0
5,0,0,0,0,90,16,8,121192.2
4,0,0,1,1,60,4,6,48926.6
4,1,0,0,1,100,4,4,14659.2
1,0,0,1,0,20,16,2,17829.2
2,1,1,0,0,50,1024,6,89200.6
2,0,0,1,1,100,4096,6,90647.6
5,1,1,1,1,60,8,8,121363.8
5,1,1,1,0,70,2048,2,9209.4
2,0,0,0,1,70,512,10,100550.6
4,1,0,1,1,40,256,4,43489.8
1,0,0,0,0,60,16,10,96204.6
3,1,0,1,0,100,32,4,12198.6
3,0,1,1,0,20,4,0,12810.6
4,0,0,1,1,40,64,8,124763.6
2,0,1,0,0,30,64,10,100284.8
2,0,0,1,1,80,2048,10,102777.8
4,0,0,1,1,60,128,2,36091.6
3,1,1,1,1,70,4,6,13545.4
5,1,0,0,0,90,512,6,47695.0
4,0,1,0,1,0,16,10,274646.0
4,0,1,0,1,70,8,6,22786.0
2,1,1,0,1,40,4096,0,4863.8
4,1,1,0,0,90,64,6,19497.6
1,0,0,0,0,30,16,10,96707.8
4,1,0,0,0,50,256,8,39615.0
1,1,1,0,0,10,32,10,98728.6
2,1,0,0,0,10,256,10,99296.2
1,0,0,0,0,100,64,4,11711.0
2,0,1,0,1,100,4,8,80716.4
4,1,1,0,0,90,128,10,111841.4
5,1,1,0,1,100,1,2,9147.6
1,1,0,0,0,80,4,2,17699.2
1,1,1,1,0,40,256,2,17730.6
3,1,1,0,0,30,512,6,10667.0
1,1,0,1,1,10,1,10,125480.0
3,0,0,1,1,90,4096,8,37840.6
3,1,0,1,1,30,2,0,13233.0
2,1,0,0,0,40,1024,6,89424.6
3,0,0,1,0,90,512,10,48284.2
2,1,1,1,1,40,256,0,17677.8
3,1,1,1,1,80,16,10,47803.0
5,1,0,0,1,10,128,4,9143.2
3,0,1,0,0,100,512,6,10598.0
3,1,0,0,1,100,32,0,12087.4
4,0,0,0,1,60,1024,0,8946.4
1,1,0,1,0,20,1024,2,17819.0
3,1,0,1,0,10,32,0,12454.2
3,1,0,1,1,0,8,6,20872.8
4,1,0,0,0,80,64,4,12819.8
3,1,0,0,0,20,4,4,12914.8
1,1,0,1,0,0,2048,6,123598.8
4,0,0,0,0,90,4,0,9402.8
2,1,0,0,1,60,16,0,4963.8
1,1,0,0,1,40,256,6,89549.4
5,1,1,0,0,40,16,2,9170.0
1,0,1,1,1,100,128,6,90673.8
3,0,1,1,0,40,4,6,13499.8
5,0,0,1,0,30,2,4,9212.0
1,0,0,0,1,100,1024,8,102275.4
2,1,1,1,1,70,4096,0,17651.4
4,0,0,0,1,80,512,4,12780.2
3,1,1,0,1,10,8,8,38036.8
2,1,0,0,1,20,128,2,5047.6
5,0,0,0,1,20,2048,0,9176.8
4,0,1,0,1,10,256,4,14059.0
4,0,0,0,0,40,1,6,34728.0
3,1,0,0,0,80,4,2,12912.8
5,0,0,0,1,30,4,2,9148.8
4,0,0,1,1,20,2048,2,35809.6
5,1,1,0,1,80,4,8,120982.0
5,1,0,1,1,70,512,8,121534.4
4,0,0,0,0,90,16,0,9007.6
4,1,1,1,1,0,4096,2,35649.2
2,0,1,0,1,0,256,6,81875.2
4,1,1,1,0,0,32,2,35465.2
2,1,0,1,1,30,8,6,99032.0
4,0,0,1,1,90,64,0,35882.6
5,1,1,1,0,20,4,6,47531.8
5,1,1,0,0,50,64,4,9157.0
5,1,0,1,1,50,1024,6,47774.6
2,0,1,0,1,20,8,10,86457.4
5,0,1,1,1,70,32,4,9232.6
3,0,0,0,1,0,1,0,15995.6
2,1,0,0,1,100,4,2,5449.8
1,1,1,0,0,60,64,6,89522.4
5,0,0,1,0,10,256,8,121475.6
3,1,1,1,0,10,512,2,12417.0
3,0,0,1,1,50,4096,2,12172.2
5,1,1,1,0,50,1,2,9136.2
4,1,0,1,0,20,256,10,414754.0
3,0,1,1,1,100,128,6,10537.2
1,1,1,1,1,30,256,10,103454.4
