new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
2,1,3,0,0,0,0,0,0,0,46.606
4,2,3,1,0,1,0,0,0,0,33.514
3,2,1,1,1,1,1,1,1,0,43.236
4,3,1,1,0,0,1,1,1,0,42.884
3,1,2,0,0,1,1,0,0,0,32.476
2,1,1,0,0,0,1,0,1,1,46.466
2,3,2,1,1,0,1,0,1,0,80.564
3,2,1,1,1,0,1,1,0,0,50.156
3,3,3,0,1,0,1,0,1,1,59.1
4,3,3,1,1,0,0,1,0,1,46.204
4,1,1,0,0,0,1,1,1,0,25.422
1,1,3,1,0,0,0,0,1,1,81.822
1,3,2,0,1,1,1,0,0,1,179.074
1,2,3,1,0,0,1,1,1,0,118.884
4,3,2,1,1,1,0,0,1,1,37.614
4,3,1,0,0,1,0,0,0,0,45.446
2,2,1,1,1,0,1,0,0,0,65.212
1,2,1,0,1,0,1,0,1,0,115.976
4,1,1,1,1,1,1,0,1,0,22.168
2,2,1,0,0,0,1,0,1,0,62.038
4,3,2,1,1,0,1,1,0,0,49.75
4,2,2,0,1,0,1,0,0,1,35.892
4,3,2,1,0,0,0,1,0,1,46.742
3,3,1,0,0,1,0,1,1,1,54.88
1,3,1,0,0,0,0,0,0,1,165.306
4,2,2,1,1,1,1,1,0,0,35.664
4,1,2,0,1,1,1,1,1,1,25.258
1,2,2,0,0,0,1,1,1,1,125.56
4,1,2,1,0,1,1,1,0,0,23.858
4,2,3,0,0,0,0,1,1,0,31.852
4,1,3,0,1,0,0,0,0,0,24.77
3,3,3,1,0,1,1,1,0,1,71.806
4,2,2,0,1,1,1,0,0,1,35.91
4,1,2,0,1,1,1,1,1,0,24.838
3,2,3,0,0,0,1,0,0,0,51.194
1,2,3,0,1,0,0,0,0,0,121.71
2,3,3,1,1,1,0,0,1,0,72.436
3,2,2,0,1,0,0,0,0,1,46.06
2,1,2,1,1,0,1,0,0,0,42.778
3,2,2,1,1,1,1,0,0,1,46.988
3,1,2,0,1,1,0,1,0,0,33.206
4,3,2,1,1,1,1,0,1,1,41.228
3,2,2,0,0,1,0,1,1,0,42.726
1,1,3,1,1,1,1,0,1,0,80.474
2,2,2,0,1,0,1,0,0,1,69.208
3,2,2,0,0,0,1,0,1,0,43.976
4,2,3,0,1,0,0,1,1,1,31.722
1,3,3,1,1,1,1,1,0,1,184.508
3,1,2,1,1,1,1,1,0,0,31.0
1,1,3,1,0,0,1,1,1,0,88.9
1,2,2,0,1,0,1,1,0,0,139.71
3,1,3,0,0,1,0,0,1,1,32.498
4,1,3,1,0,1,0,0,0,0,23.6
4,1,3,0,1,0,1,1,1,1,25.084
4,3,2,1,1,1,1,0,0,0,47.44
1,3,3,0,0,1,0,1,0,0,182.774
2,2,3,0,0,1,1,1,0,0,75.406
4,2,1,1,1,1,0,0,0,1,31.152
3,2,1,0,1,1,0,0,0,0,45.002
1,2,2,0,1,0,0,0,1,0,109.124
1,2,2,0,0,0,0,1,1,0,118.848
2,3,1,0,0,0,0,0,1,0,74.916
3,1,2,0,1,1,1,0,0,0,31.724
3,1,2,0,0,0,0,1,1,0,33.992
2,3,1,0,1,1,1,0,1,0,83.208
3,3,3,0,1,1,0,1,1,0,54.538
2,3,3,1,1,1,0,1,1,1,76.83
3,2,3,1,0,0,0,1,0,0,47.098
1,1,3,0,0,1,1,0,0,1,87.81
3,3,2,0,1,0,1,1,0,0,74.624
3,1,2,0,0,1,1,0,1,1,32.306
3,3,2,1,0,1,0,0,1,0,50.354
2,2,2,1,1,1,0,0,1,0,55.212
4,3,3,0,1,0,0,1,0,1,48.842
4,3,3,1,0,1,0,1,0,0,46.836
3,1,3,1,1,1,1,0,0,0,30.392
3,2,2,0,0,0,0,0,1,0,40.512
4,2,3,0,1,1,0,1,1,0,31.4
2,2,2,0,0,0,1,1,1,0,66.352
4,3,1,0,0,0,0,1,0,0,49.286
2,2,2,1,1,0,1,1,1,1,62.596
4,2,3,1,0,0,1,1,1,1,32.082
4,3,3,1,0,0,1,0,1,0,43.142
1,1,1,1,0,1,1,0,0,1,81.904
4,1,2,1,1,1,0,1,1,0,23.456
2,3,3,1,0,0,1,1,0,0,99.548
4,3,3,1,1,1,1,0,1,1,41.786
1,1,1,0,0,0,1,0,1,1,86.608
3,2,3,0,0,1,0,1,1,0,42.614
3,2,3,1,1,1,1,1,0,0,50.296
4,3,3,0,0,0,0,1,1,0,41.072
3,2,2,0,0,0,0,1,1,1,42.698
1,2,2,0,0,0,1,1,0,1,141.992
4,1,1,0,0,1,1,1,1,0,25.096
3,2,1,0,1,1,0,1,0,0,49.678
2,3,3,1,1,1,0,0,1,1,72.318
3,3,1,1,0,0,1,0,0,1,66.616
4,3,3,0,0,1,1,0,0,0,51.282
2,1,1,0,1,1,0,0,1,0,44.928
2,1,3,0,0,0,0,0,1,1,46.576
