new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
1,0,2,2,1,0,2048,0,165.18
0,1,2,2,0,1,512,5,337.4748
1,1,2,2,1,0,1024,0,31.7822
0,1,2,2,1,0,512,9,337.4748
0,2,1,2,1,0,2048,1,337.4748
1,0,2,0,1,1,1024,0,165.6808
0,2,1,0,1,1,4096,0,337.4748
1,0,2,0,0,1,2048,9,337.4748
0,1,2,1,1,1,4096,1,337.4748
1,2,2,2,0,0,2048,5,164.5752
0,1,2,0,0,1,512,0,31.1982
1,1,2,2,1,1,512,1,337.4748
1,1,2,2,0,0,2048,5,337.4748
1,1,1,1,1,0,512,9,337.4748
1,2,2,2,1,0,2048,0,337.4748
0,0,1,1,0,1,512,0,337.4748
0,1,1,1,0,1,512,0,337.4748
0,2,1,0,0,1,4096,1,167.9556
1,2,1,0,1,0,4096,0,337.4748
0,1,2,2,0,0,4096,5,337.4748
0,1,1,0,1,0,512,9,337.4748
0,0,2,2,1,1,512,5,337.4748
1,1,1,2,0,1,512,5,337.4748
1,1,1,1,1,0,2048,0,337.4748
1,0,1,0,0,0,4096,0,166.614
1,1,2,2,1,0,512,1,337.4748
0,2,1,1,0,1,4096,0,337.4748
0,1,2,1,0,0,1024,9,337.4748
0,2,1,1,0,0,4096,0,337.4748
0,2,1,0,0,1,2048,1,166.9488
0,1,2,1,1,1,4096,0,31.9532
0,0,1,0,0,0,512,5,337.4748
0,2,1,1,0,0,2048,0,337.4748
1,0,2,1,0,0,512,9,337.4748
0,2,2,0,0,0,2048,1,164.6946
1,0,2,1,0,0,4096,9,337.4748
0,2,2,0,1,0,512,9,162.5204
1,0,2,0,1,1,1024,1,337.4748
1,0,1,1,1,1,4096,1,337.4748
1,0,1,2,0,1,1024,0,337.4748
1,0,1,0,0,1,1024,1,337.4748
0,2,1,1,0,1,512,1,337.4748
1,1,1,1,0,1,4096,5,337.4748
1,2,1,2,1,1,512,5,337.4748
0,2,1,0,1,0,2048,9,166.2336
1,2,2,2,0,1,4096,1,167.0054
0,2,2,2,1,0,1024,5,163.9968
0,0,2,0,0,0,2048,0,164.191
1,1,2,2,0,0,1024,5,337.4748
0,1,2,1,0,1,2048,1,337.4748
1,0,1,2,1,1,2048,5,337.4748
0,1,2,2,0,0,4096,9,337.4748
1,0,2,0,0,1,1024,1,337.4748
0,1,2,0,1,1,1024,0,31.9392
1,0,2,1,1,0,1024,0,167.9786
1,0,2,2,1,0,1024,9,337.4748
1,1,1,2,0,1,1024,5,337.4748
0,2,1,0,1,1,512,1,166.5828
1,0,2,1,1,0,2048,0,166.2018
0,2,2,0,1,1,512,5,166.3334
1,1,2,2,1,1,512,0,32.3934
0,2,2,0,1,1,4096,5,165.733
1,1,2,0,1,0,512,0,31.376
0,0,1,2,0,0,1024,0,337.4748
0,1,1,2,1,1,1024,9,337.4748
1,0,1,2,0,1,512,1,337.4748
1,0,1,2,0,1,4096,5,337.4748
1,0,1,1,0,1,512,9,337.4748
1,1,2,0,1,1,4096,9,337.4748
1,0,2,2,0,0,4096,9,337.4748
1,1,2,1,1,0,512,0,31.6506
1,2,1,1,0,0,1024,0,337.4748
1,0,1,0,1,1,1024,5,337.4748
1,2,2,1,0,1,512,1,165.3788
1,2,2,1,1,0,512,9,165.0922
1,1,1,2,0,0,2048,0,337.4748
0,2,1,0,0,1,1024,1,166.278
1,2,2,1,0,1,1024,5,167.1158
0,1,1,2,1,1,2048,1,337.4748
1,2,1,2,0,1,1024,0,337.4748
1,2,1,2,0,0,2048,1,337.4748
0,1,1,1,1,0,4096,0,337.4748
0,2,2,2,0,1,2048,1,164.6412
0,1,2,1,1,0,4096,5,337.4748
1,2,2,0,1,1,512,1,164.6426
0,0,1,0,1,0,2048,0,166.6926
0,2,2,1,0,1,1024,5,167.081
0,0,2,1,0,1,2048,5,337.4748
0,2,2,1,1,0,1024,1,166.458
0,2,1,0,0,1,1024,1,166.278
0,1,1,0,0,0,1024,9,337.4748
1,1,2,1,1,1,512,0,31.6374
1,2,1,1,0,0,4096,9,337.4748
1,1,1,1,1,0,512,5,337.4748
1,0,2,1,1,1,4096,1,337.4748
0,2,1,1,1,1,512,0,337.4748
0,2,1,0,1,1,512,9,166.7742
1,2,2,1,0,0,2048,9,166.1188
1,2,2,2,0,0,1024,0,337.4748
1,1,1,1,1,0,512,1,337.4748
