topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
4,10,2,1000000,1,0,1000,10,1024,10000,5,0,2.0000063652707105
2,1,2,10,1,0,1,10,1024,10000,5,29,2.0000675057831976
4,10,4,10,10,1,1000,10,1024,100,2,0,0.4030098311177544
4,10,4,1000000,1,1,1,1000,512,10000,5,29,3.704239416562585e-05
2,10,4,10,1,0,1,1000,512,10000,2,29,0.015002669651666342
2,10,2,1000000,1,0,1,10,512,100,2,29,0.002532694012121589
2,10,4,1000000,10,0,1,1000,1024,10000,2,29,1.999953042742016
4,1,2,1000000,1,1,1000,10,1024,100,5,29,2.000038797043248
4,1,4,1000000,1,0,1,1000,1024,10000,2,29,0.0019049120620666475
2,10,4,10,10,1,1000,10,1024,10000,2,29,2.0000007175528167
2,1,2,10,10,0,1,1000,1024,10000,5,29,0.14260047211810176
2,1,4,1000000,10,0,1,1000,512,10000,5,0,1.9999610611472367
2,10,4,10,1,0,1000,10,1024,10000,5,29,1.9999822383753545
4,10,2,1000000,10,0,1000,10,1024,10000,2,0,1.9999116159383956
4,1,4,10,10,0,1,1000,1024,10000,5,0,0.07942773187851537
4,1,4,10,10,0,1000,1000,1024,100,5,29,1.9999700200712092
4,10,4,1000000,1,0,1,10,1024,100,5,29,0.0009586760538795785
2,1,2,10,1,1,1,1000,1024,10000,5,0,0.015104783794978172
2,1,2,1000000,10,0,1,10,512,100,5,29,1.9999943619798835
4,10,4,10,1,0,1000,1000,512,10000,5,0,0.2160995122701431
2,10,4,10,1,1,1,1000,512,100,5,0,1.9999983906275862
2,10,4,1000000,10,0,1,1000,1024,100,2,29,2.0000376465553846
4,10,2,1000000,10,1,1,10,512,10000,2,29,1.9999357829338624
2,10,4,10,1,0,1000,10,1024,10000,5,29,2.0000083846777694
4,1,2,1000000,1,1,1000,1000,1024,100,5,0,1.9999842511919823
4,1,2,1000000,1,1,1000,10,1024,100,5,0,2.0000381621591923
4,10,2,10,10,0,1,1000,512,10000,2,0,0.14442720106055654
2,1,2,1000000,1,1,1000,10,512,100,5,29,1.9999993727225263
4,1,4,1000000,10,1,1000,1000,1024,10000,2,0,0.00010734605790224697
2,1,2,1000000,1,1,1000,1000,1024,100,2,0,2.0000271968497993
2,10,2,1000000,10,0,1,1000,1024,10000,5,29,2.0000134615946035
2,10,2,1000000,10,0,1000,10,1024,10000,5,29,2.0000824789221494
4,1,2,10,1,1,1,10,512,10000,2,29,1.9999662266680625
2,10,2,10,10,0,1,10,512,100,5,0,0.1369820452617283
4,1,4,1000000,10,1,1000,1000,1024,100,2,29,2.0000480788434243
2,1,2,10,1,1,1000,1000,512,10000,2,0,0.8670398701567787
2,1,2,10,1,0,1000,10,1024,10000,5,0,2.0000711760532712
4,10,4,1000000,10,1,1000,1000,1024,10000,2,29,1.9999310448099665
4,1,4,10,10,0,1000,10,512,10000,2,29,1.9999798554077028
4,1,4,10,1,1,1000,1000,512,100,5,0,1.9998988892559106
4,1,4,1000000,1,0,1,1000,512,100,5,29,2.000011301496297
2,1,2,1000000,10,0,1,1000,1024,100,5,29,1.9999297971627314
4,1,4,10,1,1,1,1000,1024,10000,2,29,0.014819122552661526
2,10,2,10,1,1,1,10,1024,10000,2,0,2.0000702424729138
4,10,2,10,1,0,1000,1000,1024,10000,2,0,0.6036677039287208
