ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,63385.0
0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,75517.8
0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,82503.8
0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,86309.4
0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,64526.2
0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,80914.6
1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,73056.2
1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,86684.8
0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,72325.0
0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,69501.8
0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,91839.6
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,60474.2
0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,69133.4
0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,63760.2
1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,77877.4
1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,62324.0
1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,75526.6
0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,64375.0
0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,70667.6
0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,75072.2
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,64436.2
1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,69363.2
1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,86891.4
0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,65668.0
