Iteration,ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,76251.4
1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,87385.0
2,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,86668.4
3,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,79438.4
4,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,85346.8
5,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,82049.0
6,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,88784.4
7,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,64157.4
8,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,61701.2
9,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,80133.4
10,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,76978.4
11,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,88680.2
12,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,87266.8
13,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,69641.6
14,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,79896.4
15,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,61621.0
16,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,81761.2
17,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,66642.6
18,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,82138.2
19,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,61575.6
20,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,64167.8
21,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,88969.2
22,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,82235.4
23,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,85948.2
24,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,90274.8
25,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,80975.6
26,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,80952.0
27,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,77050.0
28,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,67645.2
29,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,63551.8
30,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,62478.6
31,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,62478.6
32,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,58752.2
33,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,62478.6
34,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,58752.2
35,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,58752.2
36,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,58752.2
37,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,58752.2
38,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,58752.2
39,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,58752.2
40,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,58752.2
