Iteration,new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,1,0,1,2,0,1,1024,0,337.4748
1,1,2,1,2,0,0,4096,9,337.4748
2,1,1,2,1,1,1,1024,5,337.4748
3,1,2,2,0,1,1,512,5,163.3164
4,1,1,2,2,0,0,512,5,337.4748
5,0,2,2,2,0,1,4096,9,164.142
6,1,2,1,0,1,1,2048,0,337.4748
7,1,0,1,0,1,0,1024,9,337.4748
8,1,2,1,1,1,1,512,0,337.4748
9,1,0,1,1,1,1,1024,0,337.4748
10,0,2,1,1,1,0,512,9,337.4748
11,0,0,2,0,0,0,4096,1,337.4748
12,1,2,1,1,0,0,1024,0,337.4748
13,0,1,1,0,0,1,512,5,337.4748
14,0,2,1,1,0,1,512,5,337.4748
15,1,0,2,0,1,0,4096,0,167.101
16,1,1,2,2,0,0,2048,5,337.4748
17,0,1,1,0,1,0,1024,1,337.4748
18,1,1,1,1,0,1,1024,9,337.4748
19,1,0,1,2,1,0,2048,9,337.4748
20,1,2,2,2,1,0,4096,1,162.4182
21,0,0,1,0,0,0,1024,9,337.4748
22,0,0,1,2,1,1,4096,9,337.4748
23,0,0,2,1,1,1,2048,1,337.4748
24,0,2,2,1,0,0,4096,9,165.1006
25,0,2,2,1,0,0,2048,0,337.4748
26,1,1,2,0,1,0,4096,5,337.4748
27,1,2,1,2,1,0,512,9,337.4748
28,1,1,2,2,0,1,4096,9,337.4748
29,0,1,1,2,0,0,512,1,337.4748
30,1,2,2,0,1,1,512,1,164.6426
31,1,2,2,2,1,1,4096,1,164.7978
32,1,2,2,0,1,1,512,5,163.3164
33,1,2,2,2,1,1,4096,1,164.7978
34,1,2,2,2,1,1,512,5,163.3302
35,1,2,2,0,1,0,4096,5,164.9454
36,1,2,2,2,1,1,512,1,163.6666
37,1,2,2,0,1,1,4096,5,165.6286
38,1,2,2,2,1,0,512,1,165.4944
39,1,2,2,0,1,1,2048,5,165.2798
40,1,2,2,2,1,0,4096,1,162.4182
41,1,2,2,2,1,0,4096,1,162.4182
42,1,2,2,2,1,0,4096,1,162.4182
43,1,2,2,2,1,0,4096,1,162.4182
44,1,2,2,2,1,0,4096,1,162.4182
45,1,2,2,2,1,0,4096,1,162.4182
46,1,0,2,2,1,0,4096,0,167.6958
47,1,2,2,2,1,0,1024,1,165.2152
