Iteration,ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,87721.2
1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,64359.8
2,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,90591.6
3,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,85098.6
4,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,80931.0
5,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,84928.4
6,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,74140.8
7,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,87104.2
8,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,87556.4
9,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,67677.0
10,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,75803.8
11,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,77267.0
12,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,71586.6
13,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,66444.2
14,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,82614.4
15,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,93330.8
16,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,71370.4
17,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,62867.0
18,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,78828.6
19,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,87605.0
20,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,92361.8
21,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,64435.6
22,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,83837.0
23,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,60326.6
24,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,87731.2
25,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,69514.2
26,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,74831.2
27,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,65563.6
28,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,97179.0
29,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,78663.4
30,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,60732.4
31,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57002.8
32,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57002.8
33,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57002.8
34,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57002.8
35,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57002.8
36,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,63056.0
37,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57002.8
38,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57002.8
39,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,63056.0
40,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57002.8
41,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,60280.8
42,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57002.8
43,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,63056.0
44,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57002.8
45,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,60280.8
46,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,56989.0
47,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,63337.6
