Iteration,spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0.0030063406893018826
1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0.0009927153069161211
2,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0.9940120590431167
3,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0.003968844319396073
4,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0.013904178839925087
5,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0.00694429628453147
6,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0.00695196248770137
7,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0.0049551711453782715
8,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0.014897908472432986
9,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0.006920900327578134
10,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0.9950410472990423
11,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0.994043171932045
12,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0.02779431760374874
13,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0.018872061184305042
14,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.010936257942307081
15,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0.9940298427559547
16,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0.0059626160847715505
17,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0.006973417087349896
18,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0.9940383206282624
19,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0.9950181650591645
20,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0.012943395970593083
21,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0.9940458550136313
22,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0.9930567782118956
23,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0.9920553154001996
24,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0.0049739986169354605
25,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0.002964684753684794
26,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0.9920523810045629
27,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0.023823481943423725
28,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0.006946857019700774
29,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0.9970374915778303
30,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0.9940647121978812
31,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0.9930709559653377
32,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0.9940415412032035
33,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0.9940274788967877
34,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0.9940470220244843
35,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0.0069564253358396265
36,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0.0029862305923293803
37,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0.9940396817509669
