Iteration,WindowSize,CompressionLevel,Performance
0,11,8,5.042
1,24,5,7.154
2,19,8,11.508
3,11,10,343.594
4,10,4,3.02
5,10,4,3.02
6,24,1,1.57
7,10,10,363.364
8,18,10,279.698
9,19,9,14.048
10,24,7,20.228
11,10,3,2.616
12,12,2,1.988
13,13,6,4.3
14,17,9,10.152
15,22,4,2.748
16,20,10,246.512
17,16,4,2.77
18,18,3,2.562
19,16,7,6.998
20,13,3,2.37
21,23,11,315.238
22,12,4,3.004
23,23,11,315.238
24,13,4,2.972
25,17,0,1.606
26,17,10,307.144
27,11,2,1.998
28,17,7,7.636
29,18,9,11.954
30,21,1,1.598
31,21,1,1.598
32,21,1,1.598
33,15,1,1.52
34,15,5,5.072
35,14,1,1.46
36,14,8,6.086
37,14,1,1.46
38,14,1,1.46
39,14,0,1.472
40,14,6,4.874
41,14,5,4.678
42,19,1,1.604
43,14,8,6.086
44,22,1,1.586
45,20,2,2.088
46,24,6,10.176
47,11,1,1.526
48,14,0,1.472
49,10,11,363.346
50,19,5,7.372
51,12,9,6.47
52,16,3,2.508
53,22,1,1.586
54,20,8,14.64
55,23,7,20.474
56,24,10,392.744
57,14,2,1.9
58,18,1,1.63
59,13,6,4.3
60,10,11,363.346
61,11,3,2.476
62,15,9,8.084
63,12,4,3.004
64,14,1,1.46
65,16,7,6.998
66,23,10,318.954
67,14,0,1.472
68,19,1,1.604
69,21,5,7.272
70,17,8,8.454
71,18,2,2.094
72,22,1,1.586
73,13,4,2.972
74,20,11,246.08
75,14,6,4.874
76,24,3,2.478
77,15,1,1.52
78,14,9,7.404
79,10,0,1.662
80,11,7,5.078
81,12,10,328.816
82,16,1,1.598
83,14,5,4.678
84,21,8,18.874
85,17,1,1.612
86,23,2,2.032
87,19,4,2.8
88,22,11,259.594
89,14,6,4.874
90,20,1,1.636
91,18,3,2.562
92,13,9,6.862
93,24,0,1.574
94,15,7,6.39
95,14,1,1.46
96,10,10,363.364
97,11,5,3.49
98,12,1,1.542
99,16,8,7.548
100,14,2,1.9
101,14,1,1.46
102,14,1,1.46
103,14,1,1.46
104,14,1,1.46
105,14,1,1.46
106,21,1,1.598
107,23,11,315.238
108,17,4,2.848
109,19,6,9.336
110,22,3,2.5
111,18,9,11.954
112,14,1,1.46
113,20,0,1.63
114,13,7,5.554
115,24,10,392.744
116,15,1,1.52
117,14,5,4.678
118,10,8,5.046
119,11,2,1.998
120,12,1,1.542
121,14,11,301.078
122,16,4,2.77
123,21,6,10.46
124,23,1,1.572
125,17,3,2.564
126,19,9,14.048
127,14,0,1.472
128,22,7,19.626
129,18,1,1.63
130,20,10,246.512
131,13,5,4.128
132,14,1,1.46
133,24,8,38.644
134,15,2,1.972
135,14,1,1.46
136,10,11,363.346
137,11,4,3.04
138,12,6,3.846
139,16,1,1.598
140,14,3,2.302
141,21,9,23.614
142,23,1,1.572
143,17,0,1.606
144,14,7,5.896
145,19,10,258.558
146,22,1,1.586
147,18,5,6.714
148,20,8,14.64
149,14,2,1.9
150,13,1,1.514
151,24,11,394.158
152,15,4,2.834
153,14,1,1.46
154,10,6,3.386
155,11,3,2.476
156,12,9,6.47
157,14,1,1.46
158,16,0,1.59
159,21,7,15.806
160,23,10,318.954
161,14,1,1.46
162,17,5,5.886
163,19,8,11.508
164,22,1,1.586
165,14,2,1.9
166,18,11,279.692
167,20,4,2.808
168,13,1,1.514
169,24,6,10.176
170,14,3,2.302
171,15,9,8.084
172,10,1,1.666
173,11,0,1.526
174,14,7,5.896
175,12,10,328.816
176,16,1,1.598
177,21,5,7.272
178,14,8,6.086
179,23,1,1.572
180,17,2,2.102
181,19,11,258.502
182,22,1,1.586
183,14,4,2.894
184,18,6,7.51
185,20,3,2.546
186,13,1,1.514
187,24,9,108.602
188,14,0,1.472
189,15,7,6.39
190,10,1,1.666
191,11,10,343.594
192,14,5,4.678
193,12,8,5.318
194,16,1,1.598
195,14,2,1.9
196,21,1,1.598
197,23,11,315.238
198,17,4,2.848
199,19,6,9.336
200,14,3,2.302
201,22,1,1.586
202,18,9,11.954
203,20,0,1.63
204,13,7,5.554
205,24,1,1.57
206,14,10,301.488
207,15,5,5.072
208,10,1,1.666
209,11,8,5.042
210,14,2,1.9
211,12,1,1.542
212,16,11,284.296
213,14,4,2.894
214,21,6,10.46
215,23,3,2.478
216,17,1,1.612
217,19,9,14.048
218,14,0,1.472
219,22,7,19.626
220,18,1,1.63
221,20,10,246.512
222,13,5,4.128
223,14,1,1.46
224,24,8,38.644
225,15,2,1.972
226,14,1,1.46
227,14,1,1.46
228,14,1,1.46
229,14,1,1.46
230,14,1,1.46
231,14,1,1.46
232,14,1,1.46
233,14,1,1.46
234,10,1,1.666
235,11,1,1.526
236,14,11,301.078
237,12,4,3.004
238,16,6,5.77
239,14,1,1.46
