Iteration,fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,0,1,1,0,128,32,4096,138185.3999746021
1,0,0,0,0,0,128,32,4096,46476.20003410427
2,1,1,0,0,0,128,32,4096,134334.8000256944
3,0,1,0,1,1,128,32,256,46423.200000772034
4,1,1,0,1,0,64,32,1024,132684.999980705
5,1,1,0,1,1,64,8,4096,128898.00003709606
6,0,1,1,1,1,64,8,256,46723.19998579484
7,1,1,0,1,0,128,8,256,131542.79997834898
8,1,1,1,1,1,64,32,4096,131409.80001153625
9,1,0,1,1,0,256,8,256,139655.7999578379
10,0,0,0,0,0,128,2,1024,46169.200043565266
11,0,1,1,1,1,256,32,4096,46325.400001114474
12,0,0,0,0,1,256,32,4096,46070.79998528621
13,1,1,1,1,1,128,8,1024,130226.00000381246
14,0,0,1,0,0,128,32,4096,46233.59998649876
15,1,1,0,0,1,256,2,1024,131355.40002891762
16,1,0,0,0,1,256,8,4096,131261.19997118408
17,1,0,0,0,1,256,32,256,135823.20001092562
18,1,0,1,1,1,256,2,4096,140432.99998165393
19,1,1,0,0,1,128,32,256,131364.3999969101
20,0,1,0,1,1,64,8,256,46752.40000478773
21,0,0,1,1,0,256,8,1024,46903.40001459558
22,0,0,0,0,0,128,8,1024,46208.00000349723
23,1,0,0,1,0,256,32,4096,133534.2000001737
24,0,1,1,0,1,256,8,256,47091.99998532911
25,0,1,1,0,1,64,2,1024,46614.4000343291
26,0,1,1,0,0,256,8,1024,47095.59998468333
27,1,1,0,0,1,256,8,256,131946.0000542338
28,0,0,0,1,0,128,8,1024,46551.60000999185
29,1,0,0,1,1,128,32,4096,132487.40002587304
30,1,1,0,1,1,128,2,256,130922.99996555438
31,1,1,0,1,1,256,32,256,132261.199994992
32,0,0,0,1,0,128,32,256,46457.20000433108
33,0,0,1,0,1,256,32,4096,47000.200039882984
34,1,1,0,1,1,64,2,256,134107.40001059632
35,1,1,0,0,1,128,2,256,136842.20004541488
36,0,1,1,1,0,128,2,256,46517.800023618474
37,1,0,1,0,1,256,32,256,137279.99998237632
38,0,1,0,1,1,128,32,4096,46393.99997201263
39,0,0,1,1,0,64,32,4096,46914.00001880422
40,1,1,0,1,1,64,8,256,132419.19994824548
41,1,1,1,1,1,128,32,256,135538.40000134433
42,0,0,0,1,0,256,32,256,46346.40000047487
43,0,1,1,0,1,64,8,1024,46293.59998981927
44,1,0,1,0,1,256,8,1024,134254.19996339662
45,0,1,0,0,1,64,8,4096,46203.20002088336
46,1,0,1,0,0,256,8,1024,138245.199955412
47,0,1,1,0,0,64,2,256,46338.600038182565
48,0,0,0,0,1,128,32,256,46034.999993695725
49,1,0,0,0,0,64,32,1024,135660.39996831483
50,0,0,1,0,1,256,32,4096,47000.20002829966
51,0,1,1,0,0,64,8,256,45922.79999953174
52,0,0,1,1,0,64,2,256,46508.799999522525
53,0,0,1,1,0,128,2,1024,46881.40001227138
54,0,1,1,1,1,128,2,4096,47014.000024298715
55,0,1,1,0,0,128,32,256,46144.00002849076
56,0,1,1,0,1,256,2,4096,46381.399982730996
57,1,1,1,0,0,128,2,256,136797.79999932373
58,0,1,1,0,1,64,2,4096,46299.39996749585
59,0,0,1,0,1,128,8,256,46271.00002557569
60,0,0,0,0,1,64,32,4096,46073.59999435914
61,0,0,0,0,0,64,32,256,46471.200015720446
62,0,0,0,0,1,64,32,256,46295.39998543574
63,0,0,0,0,0,256,32,4096,46042.39998319931
64,0,0,0,0,0,64,32,4096,46314.40002782534
65,0,0,0,0,0,256,32,256,46274.99999226407
66,0,0,0,0,0,128,8,256,46203.99997202141
67,0,0,0,0,0,256,32,4096,46042.39995646301
68,0,0,0,0,0,64,8,256,46297.59997214519
69,0,0,0,0,0,256,32,4096,46042.3999870638
70,0,0,0,0,0,128,32,256,46255.000020946085
71,0,0,0,0,0,64,8,256,46297.60001680108
72,0,0,0,0,0,128,32,4096,46476.19995386032
73,0,0,0,0,0,256,8,256,46305.600004090724
74,0,0,0,0,0,64,32,4096,46314.40000782354
75,0,1,0,0,0,256,8,256,46335.59997291879
76,0,0,0,0,0,128,32,256,46255.00000229773
77,0,1,0,0,0,256,32,4096,46038.99997108085
78,0,1,0,0,0,128,8,256,46318.00000335278
79,0,1,1,0,0,64,32,256,46144.00001401811
80,0,1,0,0,0,256,8,1024,46097.60001577539
81,0,1,1,0,0,64,32,4096,46715.40001997006
82,0,1,0,0,1,128,8,256,46673.2000155188
83,0,1,1,0,0,256,32,4096,46191.200005317885
84,0,1,0,0,1,128,32,256,46355.19994615268
85,0,1,1,0,0,64,8,1024,46317.800037082096
86,0,1,0,0,1,256,32,256,46163.40002462782
87,0,1,1,0,0,128,8,4096,46157.59997862382
88,0,1,0,0,1,64,32,256,46155.200010504086
89,0,1,1,0,0,256,32,1024,46047.40002054504
90,0,1,0,0,1,128,8,4096,46302.999966290125
91,1,1,0,0,0,64,32,256,132467.79998642363
92,0,1,1,0,0,256,8,256,46092.00001780679
93,0,1,0,0,1,128,2,4096,46277.59999557042
94,0,1,1,0,0,64,32,256,46144.00001790124
95,1,1,0,1,1,256,32,1024,127450.39998267568
96,0,1,1,0,0,128,8,4096,46157.60004876232
97,0,1,0,0,1,64,32,256,46155.19997610613
98,0,1,1,0,0,256,2,4096,46426.99998464624
99,1,1,0,1,1,128,32,256,130087.39998703515
100,0,1,0,0,0,64,8,1024,46294.000000579676
101,0,0,0,0,0,256,32,4096,46042.40002025
102,0,0,0,0,0,256,32,4096,46042.40003246437
103,0,0,0,0,0,256,32,4096,46042.3999915775
104,0,0,0,0,0,256,32,4096,46042.40001253314
105,0,0,0,0,0,256,32,4096,46042.400008383825
106,0,0,0,0,0,256,32,4096,46042.4000117737
107,0,0,0,0,0,256,32,4096,46042.399973495376
108,0,0,0,0,0,256,32,4096,46042.39997519716
109,0,0,0,0,0,256,32,4096,46042.39999864453
110,0,0,0,0,0,256,32,4096,46042.40003769661
111,0,0,0,0,0,256,32,4096,46042.399950242514
112,0,0,0,0,0,256,32,256,46274.99998089821
113,0,0,0,0,0,128,2,4096,46501.19997847354
114,0,0,1,0,1,64,8,256,46344.39998468281
