Iteration,WindowSize,CompressionLevel,Performance
0,16,4,2.77
1,21,8,18.874
2,19,8,11.508
3,24,1,1.57
4,21,7,15.806
5,16,2,2.026
6,14,9,7.404
7,22,5,7.198
8,10,6,3.386
9,15,7,6.39
10,21,11,244.72
11,19,0,1.614
12,22,4,2.748
13,17,4,2.848
14,10,3,2.616
15,24,1,1.57
16,23,1,1.572
17,19,5,7.372
18,18,1,1.63
19,15,6,5.306
20,15,7,6.39
21,17,9,10.152
22,13,0,1.514
23,11,8,5.042
24,22,6,10.266
25,14,2,1.9
26,22,2,2.05
27,14,10,301.488
28,23,6,10.22
29,13,9,6.862
30,12,0,1.528
31,12,0,1.528
32,20,0,1.63
33,13,0,1.514
34,13,0,1.514
35,13,11,315.078
36,13,0,1.514
37,16,3,2.508
38,13,10,313.652
39,13,8,5.62
40,20,0,1.63
41,11,5,3.49
42,18,0,1.628
43,21,11,244.72
44,24,4,2.708
45,10,7,4.874
46,16,3,2.508
47,13,0,1.514
48,19,10,258.558
49,17,5,5.886
50,13,0,1.514
51,21,4,2.768
52,23,8,37.284
53,18,9,11.954
54,24,1,1.57
55,15,2,1.972
56,11,7,5.078
57,10,11,363.346
58,14,0,1.472
59,14,3,2.302
60,14,6,4.874
61,14,1,1.46
62,14,1,1.46
63,14,1,1.46
64,14,1,1.46
65,14,1,1.46
66,12,1,1.542
67,19,1,1.604
68,22,1,1.586
69,20,1,1.636
70,14,9,7.404
71,17,2,2.102
72,16,1,1.598
73,23,10,318.954
74,15,5,5.072
75,14,8,6.086
76,21,4,2.768
77,18,7,8.628
78,12,6,3.846
79,24,1,1.57
80,11,11,343.996
81,10,3,2.616
82,22,1,1.586
83,20,9,17.4
84,14,2,1.9
85,19,10,258.558
86,17,5,5.886
87,16,8,7.548
88,23,4,2.726
89,14,7,5.896
90,15,1,1.52
91,21,6,10.46
92,18,11,279.692
93,24,3,2.478
94,14,1,1.46
95,11,9,6.286
96,10,2,2.146
97,12,10,328.816
98,22,1,1.586
99,20,5,7.45
100,14,8,6.086
101,14,1,1.46
102,14,1,1.46
103,14,1,1.46
104,14,1,1.46
105,14,1,1.46
106,19,4,2.8
107,17,1,1.612
108,16,7,6.998
109,14,6,4.874
110,23,1,1.572
111,15,11,292.192
112,21,3,2.512
113,14,1,1.46
114,18,9,11.954
115,24,2,2.04
116,11,1,1.526
117,12,10,328.816
118,10,5,3.306
119,14,8,6.086
120,22,4,2.748
121,20,1,1.636
122,19,7,10.05
123,17,6,6.34
124,14,11,301.078
125,16,1,1.598
126,23,3,2.478
127,14,1,1.46
128,15,9,8.084
129,13,2,1.942
130,21,10,244.734
131,18,5,6.714
132,24,0,1.574
133,14,1,1.46
134,11,8,5.042
135,12,4,3.004
136,10,1,1.666
137,22,7,19.626
138,14,6,4.874
139,20,11,246.08
140,19,1,1.604
141,14,3,2.302
142,17,1,1.612
143,16,9,9.094
144,23,2,2.032
145,14,0,1.472
146,13,10,313.652
147,15,1,1.52
148,21,5,7.272
149,18,8,9.684
150,14,4,2.894
151,24,1,1.57
152,11,7,5.078
153,12,6,3.846
154,10,1,1.666
155,14,11,301.078
156,22,3,2.5
157,20,1,1.636
158,19,9,14.048
159,14,2,1.9
160,17,10,307.144
161,16,0,1.59
162,14,1,1.46
163,23,5,7.178
164,13,8,5.62
165,15,4,2.834
166,21,1,1.598
167,14,7,5.896
168,18,6,7.51
169,24,1,1.57
170,11,11,343.996
171,12,3,2.426
172,10,1,1.666
173,14,9,7.404
174,22,2,2.05
175,20,1,1.636
176,14,0,1.472
177,19,10,258.558
178,17,5,5.886
179,16,8,7.548
180,14,1,1.46
181,23,4,2.726
182,13,7,5.554
183,15,6,5.306
184,21,1,1.598
185,14,11,301.078
186,18,3,2.562
187,24,1,1.57
188,11,9,6.286
189,12,2,1.988
190,14,1,1.46
191,10,10,363.364
192,22,0,1.596
193,20,5,7.45
194,14,8,6.086
195,19,1,1.604
196,17,4,2.848
197,16,7,6.998
198,14,1,1.46
199,23,6,10.22
200,13,11,315.078
201,15,3,2.392
202,14,1,1.46
203,21,9,23.614
204,18,2,2.094
205,24,1,1.57
206,11,0,1.526
207,14,10,301.488
208,12,8,5.318
209,10,5,3.306
210,22,1,1.586
211,20,4,2.808
212,14,7,5.896
213,19,1,1.604
214,17,6,6.34
215,14,11,301.078
216,16,1,1.598
217,23,3,2.478
218,13,9,6.862
219,15,1,1.52
220,14,2,1.9
221,21,10,244.734
222,18,0,1.628
223,24,5,7.154
224,14,1,1.46
225,11,8,5.042
226,14,1,1.46
227,14,1,1.46
228,14,1,1.46
229,14,1,1.46
230,14,1,1.46
231,14,1,1.46
232,14,1,1.46
233,12,1,1.542
234,14,1,1.46
235,10,4,3.02
236,22,1,1.586
237,20,7,12.338
238,14,6,4.874
239,19,11,258.502
240,17,1,1.612
241,14,3,2.302
242,16,1,1.598
243,23,9,63.68
244,13,2,1.942
245,14,10,301.488
246,15,0,1.534
247,21,1,1.598
248,18,5,6.714
249,24,8,38.644
250,14,4,2.894
251,11,1,1.526
252,12,7,5.266
253,10,6,3.386
254,14,1,1.46
255,22,11,259.594
256,20,3,2.546
257,14,1,1.46
258,14,1,1.46
259,14,1,1.46
260,19,1,1.604
261,14,9,7.404
262,17,2,2.102
263,16,0,1.59
264,23,1,1.572
265,14,10,301.488
266,13,5,4.128
267,15,1,1.52
268,21,8,18.874
269,14,4,2.894
270,18,1,1.63
271,24,7,20.228
272,11,6,3.57
273,14,1,1.46
274,12,11,328.552
275,10,3,2.616
276,14,1,1.46
277,22,9,34.292
278,20,2,2.088
279,14,1,1.46
280,19,0,1.614
281,17,10,307.144
282,16,5,5.392
283,14,1,1.46
284,23,8,37.284
285,13,4,2.972
286,15,1,1.52
287,14,7,5.896
288,21,6,10.46
289,18,1,1.63
290,24,11,394.158
291,14,3,2.302
292,11,1,1.526
293,12,9,6.47
294,10,1,1.666
295,14,2,1.9
296,22,0,1.596
297,20,10,246.512
298,19,5,7.372
299,17,8,8.454
