Iteration,spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0.993042153849556
1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0.999014820327712
2,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0.002985705729336539
3,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0.00692996810161903
4,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0.9940355177189805
5,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0.012907742551787931
6,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0.014884762374189084
7,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0.9940252875577654
8,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0.9920649984234042
9,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.0009689709415010243
10,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0.9940453245881207
11,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.9920587624861177
12,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0.9980006776369512
13,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0.01886810076723554
14,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0.994036656448172
15,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0.9930437106641662
16,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0.011898376729923433
17,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0.9940415125409933
18,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0.9930521376063002
19,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0.027818280744256296
20,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0.9930551610485772
21,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0.17180414159248292
22,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0.028797062752599245
23,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0.9940381439477847
24,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0.9950413503107537
25,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0.015883995658712704
26,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0.9940470040009799
27,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0.0029474697758060855
28,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0.9940330517932745
29,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0.003980040047345429
30,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0.9970174314550666
31,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0.9920504100255545
32,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0.01489609798638987
33,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0.009914711432975176
34,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0.0109065804350977
35,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0.006923052096647897
36,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0.9940213979135336
37,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0.9920558313855021
38,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0.030759977535653675
39,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0.9950370706697964
40,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0.0059615494805830135
41,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0.008937867829260444
42,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0.006936557137623677
43,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0.014882097737861972
44,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0.9930369602489033
45,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0.9940502638523595
46,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0.0010056183653612302
47,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0.0029439635002818697
48,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0.9950563660780368
49,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0.0009952446592454843
50,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0.02082935655550809
51,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0.013914507552889565
52,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0.996055579145948
53,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0.008955980072203029
54,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0.0029624715397658955
55,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0.020853750309815254
56,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0.005994529243249596
57,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0.006946438042317367
58,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0.9920580984591749
59,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0.10525617606042378
60,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0.9940525595580321
61,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0.9940502542035871
62,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0.9900719970499032
63,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.0030011358646358822
64,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0.009915390803976184
65,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0.992046373678518
66,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0.9960252739643856
67,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0.9930377644294343
68,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0.9920817455780405
69,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0.01291954985762809
70,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0.028791635119742975
71,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.006945781326499994
72,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0.992073180049554
73,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0.9940295612198475
74,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.9920323007287244
