Iteration,spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0.9920383951578176
1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0.9940473412810491
2,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0.009916015668048294
3,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0.014883687244542528
4,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0.9980217712266173
5,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0.009935451471652796
6,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0.0069479396398259684
7,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0.010946345576099619
8,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0.015896317727262504
9,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0.9950244046268851
10,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0.019866448402972147
11,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0.9940442938319516
12,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0.01886095929197716
13,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0.9940403435917284
14,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0.011900403758323363
15,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0.004959872267332656
16,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0.009926905832424237
17,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0.005959567640278221
18,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.000995108331510957
19,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0.005979000576904726
20,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0.002978120178529244
21,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0.9930603456562539
22,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0.9970225656714959
23,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0.995049201107881
24,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0.008938907296815728
25,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0.10127303157605003
26,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0.9930383960721452
27,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0.9940380316390426
28,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0.006966734332373209
29,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0.0069365586017243325
30,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0.10428170873030598
31,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0.006966494252411399
32,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0.028793618739722304
33,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0.993053398156205
34,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0.014895277462753497
35,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0.9970155550708786
36,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0.9970502188728968
37,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0.005969233987336768
38,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0.01191248200733796
39,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0.9920322471952101
40,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0.9940303126938093
41,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0.004947007965195857
42,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0.0029461944169131274
43,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0.006953236882397654
44,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0.9930491055318427
45,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0.9960319570321052
46,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0.012902706630633481
47,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0.014894989092836644
48,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0.0029565476221585117
49,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0.9940391953864646
50,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0.9920446937108499
51,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0.9979826070237732
52,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0.012889800687898068
53,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0.009932852667484292
54,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0.175772946428514
55,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0.009956590784142128
56,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0.014898896849409085
57,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0.01786991214835195
58,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0.01887163989135989
59,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0.02780136831728487
60,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0.9940287137999751
61,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0.9940364265360229
62,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0.0030117990476296605
63,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0.008914376421682729
64,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.010914284215570063
65,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0.9920392915797857
66,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0.006955003846261904
67,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.008953577479885537
68,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0.9980178078547743
69,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0.9940404076239316
70,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0.027775509463813415
71,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0.0029861363883765812
72,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0.994054385083411
73,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0.9940535899183903
74,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0.992053422505232
75,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0.016874638381879036
76,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0.0029640943806780577
77,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0.0019733725233179733
78,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0.015880017489170055
79,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0.9940413071226375
80,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0.00296053199044581
81,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0.0029651274212003247
82,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0.0029684844528938465
83,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0.002978619642973148
84,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0.002997483960806642
85,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0.0029934462955853217
86,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.001982336688449936
87,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.001988586640908694
88,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.0019746961216616757
89,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0.006957354196041718
90,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.0020072762335801063
91,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.0020124168810943
92,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0.006947938687350734
93,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.0020027129763593937
94,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.0019911753063070535
95,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0.006952820685259521
96,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.00196055178844043
97,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0.002974902780150606
98,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0.004966795390661449
99,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0.0029887824746098277
100,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0.006979912466498939
101,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.0019938511424623553
102,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.001989875950018609
103,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.0019689972443935853
104,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.0019982023705462405
105,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.001948247271313902
106,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.001990286472193058
107,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.001974958408454465
108,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.0019768164571339454
109,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.0019734067777730287
110,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.001972602469067666
111,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0.0030075054360051757
112,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0.006917874843489979
113,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0.026785193099351613
114,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0.004970012390671524
115,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0.006959533508244191
116,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0.026823414457471013
117,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0.004956180203328787
118,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0.006950694877163541
119,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0.028785401889741536
120,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0.0029737261738988336
121,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0.006955677011423944
122,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0.027797828453654173
123,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.001975664920867948
124,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0.004944044003231602
125,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0.027800866904791555
126,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0.0019876827868293883
