Iteration,ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,64395.4
1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,80980.6
2,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,84254.8
3,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,83704.8
4,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,93909.0
5,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,79263.2
6,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,89286.2
7,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,72187.4
8,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,60513.2
9,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,73658.2
10,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,82173.0
11,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,76753.6
12,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,79180.6
13,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,83424.4
14,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,66329.4
15,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,66580.8
16,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,76085.0
17,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,87354.8
18,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,89048.8
19,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,66911.2
20,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,76586.4
21,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,74648.6
22,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,67289.8
23,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,63742.4
24,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,90676.4
25,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,96229.0
26,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,90552.2
27,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,84136.8
28,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,68003.8
29,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,85372.0
30,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,59973.4
31,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,59973.4
32,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,59973.4
33,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,59973.4
34,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,59973.4
35,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,59847.2
36,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,59847.2
37,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,59847.2
38,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,59847.2
39,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,59847.2
40,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,59847.2
41,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,59847.2
42,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,59847.2
43,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,59847.2
44,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,59847.2
45,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,59847.2
46,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,60213.4
47,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,60420.4
48,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,59847.2
49,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,60420.4
50,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,60213.4
51,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,59847.2
52,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,80498.0
53,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,72556.0
54,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,59847.2
55,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,83443.6
56,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,72563.8
57,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,57757.8
58,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,88056.2
59,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,66023.0
60,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,66853.4
61,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,86752.4
62,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,57150.6
63,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,70178.6
64,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,79929.8
65,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,64453.8
66,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,62620.4
67,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,85719.8
68,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,64453.8
