Iteration,WindowSize,CompressionLevel,Performance
0,15,7,6.39
1,10,7,4.874
2,16,2,2.026
3,20,3,2.546
4,15,2,1.972
5,21,11,244.72
6,17,10,307.144
7,14,7,5.896
8,11,3,2.476
9,20,4,2.808
10,21,2,2.06
11,18,4,2.824
12,18,11,279.692
13,23,10,318.954
14,12,0,1.528
15,20,6,10.658
16,14,11,301.078
17,16,11,284.296
18,17,0,1.606
19,20,11,246.08
20,13,11,315.078
21,15,0,1.534
22,20,6,10.658
23,12,4,3.004
24,15,3,2.392
25,18,11,279.692
26,10,2,2.146
27,22,8,25.432
28,12,6,3.846
29,12,10,328.816
30,24,0,1.574
31,19,1,1.604
32,15,0,1.534
33,15,5,5.072
34,12,9,6.47
35,11,0,1.526
36,11,0,1.526
37,11,7,5.078
38,11,5,3.49
39,11,1,1.526
40,11,1,1.526
41,11,1,1.526
42,23,1,1.572
43,24,1,1.57
44,21,1,1.598
45,19,1,1.604
46,22,8,25.432
47,13,9,6.862
48,16,1,1.598
49,10,7,4.874
50,14,3,2.302
51,17,1,1.612
52,11,2,1.998
53,11,4,3.04
54,23,10,318.954
55,21,1,1.598
56,16,8,7.548
57,18,9,11.954
58,13,5,4.128
59,11,6,3.57
60,14,3,2.302
61,17,7,7.636
62,22,2,2.05
63,10,4,3.02
64,24,1,1.57
65,19,10,258.558
66,20,1,1.636
67,11,6,3.57
68,18,8,9.684
69,11,5,3.49
70,23,11,315.238
71,21,9,23.614
72,16,1,1.598
73,11,3,2.476
74,13,2,1.942
75,15,4,2.834
76,20,7,12.338
77,24,1,1.57
78,22,10,256.21
79,14,1,1.46
80,14,11,301.078
81,14,6,4.874
82,14,5,4.678
83,14,1,1.46
84,14,8,6.086
85,14,0,1.472
86,14,9,7.404
87,14,1,1.46
88,12,3,2.426
89,17,7,7.636
90,19,2,2.1
91,10,1,1.666
92,14,4,2.894
93,18,10,279.698
94,23,1,1.572
95,14,11,301.078
96,21,0,1.604
97,15,6,5.306
98,16,8,7.548
99,13,5,4.128
100,12,1,1.542
101,14,1,1.46
102,14,1,1.46
103,14,1,1.46
104,14,1,1.46
105,14,1,1.46
106,22,1,1.586
107,20,9,17.4
108,24,3,2.478
109,17,1,1.612
110,10,2,2.146
111,19,7,10.05
112,14,4,2.894
113,18,10,279.698
114,14,1,1.46
115,23,11,315.238
116,21,6,10.46
117,15,0,1.534
118,16,1,1.598
119,14,5,4.678
120,13,8,5.62
121,20,9,17.4
122,22,1,1.586
123,24,3,2.478
124,12,1,1.542
125,14,2,1.9
126,17,7,7.636
127,10,4,3.02
128,19,10,258.558
129,14,1,1.46
130,14,11,301.078
131,18,0,1.628
132,23,6,10.22
133,21,1,1.598
134,15,8,6.738
135,14,5,4.678
136,16,9,9.094
137,13,1,1.514
138,22,3,2.5
139,20,1,1.636
140,14,2,1.9
141,12,7,5.266
142,24,4,2.708
143,17,10,307.144
144,10,1,1.666
145,19,11,258.502
146,14,1,1.46
147,14,6,4.874
148,18,0,1.628
149,23,5,7.178
150,21,8,18.874
151,14,1,1.46
152,15,9,8.084
153,16,3,2.508
154,13,1,1.514
155,14,2,1.9
156,20,7,12.338
157,22,4,2.748
158,12,1,1.542
159,24,10,392.744
160,17,11,307.42
161,14,1,1.46
162,10,0,1.662
163,19,6,9.336
164,14,5,4.678
165,18,8,9.684
166,23,1,1.572
167,11,9,6.286
168,21,3,2.512
169,14,1,1.46
170,15,2,1.972
171,16,7,6.998
172,13,4,2.972
173,14,1,1.46
174,22,10,256.21
175,20,11,246.08
176,12,1,1.542
177,24,6,10.176
178,17,0,1.606
179,14,5,4.678
180,10,8,5.046
181,19,1,1.604
182,14,9,7.404
183,18,3,2.562
184,11,1,1.526
185,23,2,2.032
186,14,7,5.896
187,21,4,2.768
188,15,1,1.52
189,16,10,285.0
190,13,1,1.514
191,14,11,301.078
192,20,0,1.63
193,22,6,10.266
194,12,5,3.746
195,24,8,38.644
196,14,1,1.46
197,17,9,10.152
198,10,1,1.666
199,19,3,2.552
200,14,2,1.9
201,18,7,8.628
202,11,4,3.04
203,23,1,1.572
204,14,10,301.488
205,21,1,1.598
206,15,11,292.192
207,16,6,5.77
208,13,0,1.514
209,14,5,4.678
210,22,1,1.586
211,20,8,14.64
212,12,9,6.47
213,24,1,1.57
214,14,3,2.302
215,17,2,2.102
216,10,7,4.874
217,19,1,1.604
218,14,4,2.894
219,18,10,279.698
220,11,1,1.526
221,23,11,315.238
222,14,0,1.472
223,21,6,10.46
224,15,1,1.52
225,16,5,5.392
226,14,1,1.46
227,14,1,1.46
228,14,1,1.46
229,14,1,1.46
230,14,1,1.46
231,14,1,1.46
232,14,1,1.46
233,14,1,1.46
234,13,1,1.514
235,14,8,6.086
236,20,9,17.4
237,22,1,1.586
238,12,3,2.426
239,24,2,2.04
240,14,1,1.46
241,17,7,7.636
242,10,4,3.02
243,19,10,258.558
244,14,1,1.46
245,18,11,279.692
246,14,1,1.46
247,11,6,3.57
248,23,0,1.556
249,21,5,7.272
250,15,8,6.738
251,14,1,1.46
252,16,9,9.094
253,13,3,2.37
254,14,1,1.46
255,22,2,2.05
256,20,7,12.338
257,14,1,1.46
258,14,1,1.46
259,12,1,1.542
260,24,4,2.708
261,14,10,301.488
262,17,1,1.612
263,10,11,363.346
264,19,1,1.604
265,14,0,1.472
266,11,6,3.57
267,18,5,6.714
268,14,8,6.086
269,23,1,1.572
270,21,9,23.614
271,14,1,1.46
272,15,3,2.392
273,16,2,2.026
274,13,1,1.514
275,14,7,5.896
276,20,4,2.808
277,22,10,256.21
278,12,1,1.542
279,24,11,394.158
280,14,1,1.46
281,17,6,6.34
282,10,0,1.662
283,19,5,7.372
284,14,1,1.46
285,14,8,6.086
286,11,9,6.286
287,18,1,1.63
288,23,3,2.478
289,21,1,1.598
290,14,2,1.9
291,15,7,6.39
292,16,4,2.77
293,13,1,1.514
294,14,10,301.488
295,22,11,259.594
296,20,1,1.636
297,12,0,1.528
298,14,6,4.874
299,24,5,7.154
