Iteration,ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,63959.2
1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,84871.4
2,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,89808.4
3,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,69625.8
4,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,91868.6
5,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,90772.4
6,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,74630.8
7,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,59598.4
8,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,69575.8
9,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,92618.8
10,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,88127.0
11,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,91588.4
12,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,72848.2
13,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,85539.2
14,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,66325.6
15,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,65460.2
16,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,83336.0
17,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,63741.2
18,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,79619.4
19,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,78240.2
20,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,77758.2
21,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,80232.0
22,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,80818.0
23,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,80445.6
24,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,84397.6
25,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,78263.8
26,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,80349.2
27,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,80031.2
28,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,88904.4
29,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,95665.8
30,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,63741.2
31,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,59598.4
32,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,59598.4
33,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,59598.4
34,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,59378.0
35,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,59378.0
36,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,59378.0
37,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,59378.0
38,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,59378.0
39,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,59378.0
40,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,61911.8
41,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,59378.0
42,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,59378.0
43,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,61911.8
44,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,59378.0
45,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,58714.6
46,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,61356.2
47,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,58714.6
48,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,58714.6
49,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,66627.4
50,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,69361.2
51,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,57805.2
52,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,68648.0
53,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,66432.6
54,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,57310.4
55,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,68368.2
56,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,63426.6
57,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,59906.4
58,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,72973.2
59,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,71512.6
60,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,61416.6
61,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,75987.6
62,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,71512.6
63,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,61416.6
64,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,75239.6
65,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,70210.4
66,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,72818.0
67,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,67527.6
68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53887.2
69,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,67663.6
70,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,70294.6
71,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,60630.4
72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56763.8
73,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,82548.8
74,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,63415.2
75,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,58794.8
76,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56763.8
77,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,70892.6
78,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,72106.8
79,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,59096.8
80,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,58794.8
81,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,70795.8
82,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,74956.2
83,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,59096.8
84,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,58794.8
85,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56763.8
86,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,70892.6
87,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,75908.2
88,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56763.8
89,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,58794.8
90,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,73616.4
91,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,75908.2
92,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56763.8
93,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,58896.0
94,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56873.8
95,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,82811.6
96,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,60389.6
97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57058.6
98,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56873.8
99,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,82156.4
100,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,60389.6
101,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56763.8
102,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56763.8
103,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56763.8
104,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56763.8
105,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56763.8
