Iteration,WindowSize,CompressionLevel,Performance
0,17,4,2.848
1,14,6,4.874
2,14,1,1.46
3,15,11,292.192
4,18,10,279.698
5,21,6,10.46
6,18,0,1.628
7,16,6,5.77
8,16,1,1.598
9,10,3,2.616
10,23,2,2.032
11,24,11,394.158
12,21,8,18.874
13,15,7,6.39
14,21,10,244.734
15,10,5,3.306
16,19,4,2.8
17,19,10,258.558
18,20,0,1.63
19,11,2,1.998
20,15,2,1.972
21,17,6,6.34
22,17,0,1.606
23,11,0,1.526
24,11,4,3.04
25,14,11,301.078
26,14,11,301.078
27,19,6,9.336
28,23,0,1.556
29,10,11,363.346
30,22,1,1.586
31,12,9,6.47
32,13,1,1.514
33,13,1,1.514
34,13,1,1.514
35,13,1,1.514
36,14,1,1.46
37,14,3,2.302
38,14,8,6.086
39,14,7,5.896
40,18,5,6.714
41,24,9,108.602
42,16,1,1.598
43,12,1,1.542
44,22,3,2.5
45,20,8,14.64
46,14,7,5.896
47,14,10,301.488
48,18,5,6.714
49,21,4,2.768
50,23,1,1.572
51,24,9,108.602
52,15,2,1.972
53,16,1,1.598
54,17,6,6.34
55,14,10,301.488
56,20,3,2.546
57,10,4,3.02
58,14,8,6.086
59,19,1,1.604
60,22,7,19.626
61,21,2,2.06
62,11,5,3.49
63,12,11,328.552
64,15,1,1.52
65,23,0,1.556
66,14,6,4.874
67,17,1,1.612
68,18,9,11.954
69,24,10,392.744
70,10,4,3.02
71,14,1,1.46
72,16,3,2.508
73,19,8,11.508
74,20,11,246.08
75,11,7,5.078
76,14,0,1.472
77,12,2,1.988
78,22,5,7.198
79,21,1,1.598
80,13,6,4.3
81,14,1,1.46
82,15,9,8.084
83,23,10,318.954
84,18,1,1.63
85,17,3,2.564
86,24,4,2.708
87,14,8,6.086
88,16,11,284.296
89,10,7,4.874
90,20,1,1.636
91,19,2,2.1
92,14,0,1.472
93,11,5,3.49
94,22,6,10.266
95,13,1,1.514
96,12,9,6.47
97,21,10,244.734
98,14,1,1.46
99,15,4,2.834
100,23,3,2.478
101,14,1,1.46
