Iteration,fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,0,0,1,0,256,2,1024,133313.60002202162
1,1,0,0,0,0,256,8,1024,131793.40000470527
2,1,0,1,1,0,256,8,256,139655.80009277718
3,0,0,1,1,1,128,8,1024,46668.9999758527
4,1,1,0,0,0,128,32,256,131583.00000017174
5,1,0,1,0,0,256,2,1024,135993.39997999836
6,0,0,0,0,1,256,8,4096,46282.00000322918
7,0,1,1,0,1,64,32,256,46325.80002504264
8,1,1,0,1,0,128,8,4096,132048.80001229272
9,1,0,0,1,1,128,32,256,135613.9999967565
10,0,1,0,1,0,256,8,4096,46430.99998595934
11,0,0,1,1,1,128,2,1024,46692.60002820012
12,0,1,1,1,1,64,2,4096,46733.40001922485
13,1,1,0,0,1,128,8,256,137657.60001012392
14,0,1,1,1,0,256,32,4096,46451.40001701722
15,1,1,0,1,1,64,32,4096,130741.79998345292
16,1,0,1,1,0,128,2,256,138332.60002175503
17,0,1,1,1,1,64,8,4096,46753.39999235094
18,0,1,0,0,0,64,2,1024,46111.60000232225
19,0,0,1,1,0,128,8,4096,46503.1999901237
20,1,1,1,0,0,64,8,4096,130763.80002436243
21,0,1,1,1,0,128,2,256,46517.80002334587
22,1,0,0,1,0,128,2,4096,134138.8000360331
23,1,0,0,0,1,256,32,1024,139426.00001001582
24,0,0,1,0,1,256,32,4096,47000.19998626258
25,1,0,0,0,1,128,2,1024,135630.00001741378
26,1,1,0,0,1,256,2,1024,131355.39999363196
27,0,1,1,1,0,128,2,1024,46400.19999696789
28,0,1,0,1,1,128,8,1024,47354.40000310518
29,0,0,0,0,1,64,8,256,46194.80000321499
30,0,1,0,1,0,64,32,256,46886.00000819634
31,1,1,1,1,0,128,8,4096,129330.00002951981
32,0,1,1,1,1,64,32,1024,47233.200009691434
33,1,1,0,0,1,256,8,1024,133251.59999252256
34,1,1,0,0,0,256,32,4096,132785.60001680374
35,1,0,0,0,0,256,32,4096,134589.60001758568
36,0,0,0,0,1,64,2,4096,47346.199989896835
37,0,0,1,0,1,64,8,4096,46345.5999416402
38,1,1,0,0,1,64,2,1024,136113.40000885812
39,0,1,1,1,1,64,8,4096,46753.39997730836
40,0,0,1,0,1,256,8,4096,46508.59999525618
41,0,0,1,1,1,256,2,256,46651.39999941709
42,0,0,0,1,1,128,2,1024,46407.80000833262
43,1,1,1,0,1,128,32,1024,135218.99998537143
44,1,1,0,0,0,256,8,1024,132666.19997036358
45,0,0,1,0,0,64,32,256,46179.999959222594
46,0,1,0,0,1,64,8,4096,46203.200014774746
47,1,0,1,0,0,64,2,4096,134209.20000914778
48,0,0,1,1,0,64,32,1024,46819.60002516422
49,1,1,1,1,0,256,8,256,124653.80003694729
50,0,0,1,0,0,128,8,256,46139.999990293705
51,0,0,0,0,1,64,8,256,46194.799980778495
52,0,1,0,0,1,256,32,1024,46191.20001604896
53,0,1,0,0,1,256,32,4096,46104.19995698448
54,1,0,1,0,1,128,2,256,136870.8000034247
55,0,0,1,0,0,128,2,1024,46254.60000682933
56,1,0,0,1,1,128,8,256,132351.39997239335
57,0,1,1,0,1,64,32,256,46325.80001413233
58,1,1,0,1,1,128,2,1024,127179.99998417206
59,0,1,0,1,1,64,32,256,46402.39996986694
60,0,1,0,0,0,256,32,256,46177.99997337818
61,0,1,0,0,0,256,2,256,46440.00002476545
62,0,1,0,0,0,128,32,4096,46197.80000127633
63,0,1,0,0,0,256,2,256,46439.99998837471
64,0,1,0,0,0,128,8,1024,45980.79997928369
65,0,1,0,0,0,256,32,1024,46094.80000885977
66,0,1,0,0,0,256,32,1024,46094.79998780483
67,0,1,0,0,0,256,32,1024,46094.80000077922
68,0,1,0,0,0,256,32,1024,46094.799975279995
69,0,1,0,0,0,256,32,1024,46094.800012899854
70,0,1,0,0,0,256,32,1024,46094.800013844855
71,0,1,0,0,0,256,32,1024,46094.79996627008
72,0,1,0,0,0,256,32,1024,46094.799971019536
73,0,1,0,0,0,256,32,1024,46094.79998126456
74,0,1,0,0,0,128,8,1024,45980.80002279766
75,0,1,0,0,0,128,8,1024,45980.80003306964
76,0,1,0,0,0,128,8,1024,45980.7999686924
77,0,1,0,0,0,128,8,1024,45980.7999691884
78,0,1,0,0,0,128,8,1024,45980.80000530112
79,0,1,0,0,0,128,8,1024,45980.79998797523
80,0,1,0,0,0,128,8,1024,45980.80002906923
81,0,1,0,0,0,128,8,1024,45980.800059266025
82,0,1,0,0,0,128,8,1024,45980.80000011068
83,0,1,0,0,0,128,8,1024,45980.79999271125
84,0,1,0,0,0,128,8,1024,45980.79999687127
85,0,1,0,0,0,128,8,1024,45980.800011044914
86,0,1,0,0,0,128,8,1024,45980.80000981073
87,0,1,0,0,0,128,8,1024,45980.799984400765
88,0,1,0,0,0,128,8,1024,45980.80000039331
89,0,1,0,0,0,128,8,1024,45980.80000099087
90,0,1,0,0,0,128,8,1024,45980.80000626566
91,0,1,0,0,0,128,8,1024,45980.7999925872
92,0,1,0,0,0,128,8,1024,45980.79998411157
93,0,1,0,0,0,128,8,1024,45980.799959584416
94,0,1,0,0,0,128,8,1024,45980.80004259231
95,1,1,0,1,0,128,8,1024,135016.99994502013
96,0,1,0,0,0,128,8,1024,45980.80001380808
97,0,1,0,0,0,128,8,1024,45980.79999149855
98,0,1,0,0,0,128,8,1024,45980.79999555247
99,1,1,0,1,0,128,8,4096,132048.79998508608
100,0,1,0,0,0,128,8,1024,45980.7999948794
101,0,1,0,0,0,128,8,1024,45980.79998895924
102,0,1,0,0,0,128,8,1024,45980.80000585782
103,0,1,0,0,0,128,8,1024,45980.80000096216
104,0,1,0,0,0,128,8,1024,45980.799973200286
105,0,1,0,0,0,128,8,1024,45980.799993412744
106,0,1,0,0,0,128,8,1024,45980.799990286076
107,0,1,0,0,0,128,8,1024,45980.79999682528
108,0,1,0,0,0,128,8,1024,45980.80000099457
109,0,1,0,0,0,128,8,1024,45980.80000393996
110,0,1,0,0,0,128,8,1024,45980.800006247315
111,0,1,0,0,0,128,8,1024,45980.79999950393
112,0,0,0,0,0,128,8,4096,46245.80001373113
113,0,1,0,0,0,128,8,1024,45980.79998220455
114,1,1,1,0,0,128,8,1024,133603.00001141027
115,0,1,0,1,0,64,2,1024,46447.599944574606
116,0,1,0,0,0,128,8,256,46318.000003224355
117,0,0,0,0,0,128,8,1024,46207.99999803373
118,0,1,0,0,0,128,8,4096,46379.20000348202
119,0,1,1,0,0,128,8,1024,46539.199988977336
120,1,1,0,0,0,64,2,1024,132621.40000706867
121,0,1,0,1,0,128,8,1024,46356.000004157206
122,0,0,0,0,0,128,8,256,46203.999987561416
123,0,1,0,0,0,128,8,1024,45980.800021835224
124,0,1,1,0,0,128,8,1024,46539.19999582962
125,0,1,0,0,0,128,8,4096,46379.19997793106
126,1,1,0,1,0,64,2,1024,139402.3999672558
127,0,1,0,0,1,128,8,1024,46124.200015227194
128,0,0,0,0,0,128,8,256,46204.000003267094
129,0,1,0,0,0,128,8,1024,45980.80001558756
