Iteration,WindowSize,CompressionLevel,Performance
0,23,3,2.478
1,12,5,3.746
2,10,1,1.666
3,11,10,343.594
4,17,8,8.454
5,15,0,1.534
6,17,2,2.102
7,11,8,5.042
8,18,1,1.63
9,24,7,20.228
10,19,7,10.05
11,10,7,4.874
12,18,3,2.562
13,18,8,9.684
14,16,9,9.094
15,13,1,1.514
16,21,2,2.06
17,24,2,2.04
18,10,11,363.346
19,18,10,279.698
20,21,2,2.06
21,19,10,258.558
22,17,10,307.144
23,19,10,258.558
24,24,3,2.478
25,15,3,2.392
26,13,3,2.37
27,23,11,315.238
28,12,11,328.552
29,16,0,1.59
30,14,4,2.894
31,15,0,1.534
32,22,6,10.266
33,13,1,1.514
34,13,1,1.514
35,13,1,1.514
36,20,5,7.45
37,13,1,1.514
38,13,1,1.514
39,11,1,1.526
40,13,9,6.862
41,14,4,2.894
42,22,6,10.266
43,20,5,7.45
44,23,1,1.572
45,12,8,5.318
46,13,1,1.514
47,17,7,7.636
48,10,9,6.246
49,11,1,1.526
50,16,6,5.77
51,21,4,2.768
52,13,8,5.62
53,24,5,7.154
54,13,1,1.514
55,18,2,2.094
56,19,7,10.05
57,23,0,1.556
58,12,11,328.552
59,15,1,1.52
60,14,9,7.404
61,22,10,256.21
62,10,3,2.616
63,17,2,2.102
64,21,1,1.598
65,20,8,14.64
66,13,0,1.514
67,16,4,2.77
68,24,11,394.158
69,11,6,3.57
70,13,7,5.554
71,18,1,1.63
72,19,5,7.372
73,15,10,291.618
74,13,3,2.37
75,14,1,1.46
76,14,9,7.404
77,14,1,1.46
78,14,2,1.9
79,14,1,1.46
80,14,0,1.472
81,14,4,2.894
82,14,8,6.086
83,14,6,4.874
84,23,1,1.572
85,22,11,259.594
86,12,5,3.746
87,20,7,12.338
88,10,1,1.666
89,17,3,2.564
90,14,10,301.488
91,21,9,23.614
92,16,1,1.598
93,11,2,1.998
94,24,1,1.57
95,18,8,9.684
96,19,0,1.614
97,14,4,2.894
98,15,6,5.306
99,23,11,315.238
100,12,7,5.266
101,14,1,1.46
102,14,1,1.46
103,14,1,1.46
104,14,1,1.46
105,14,1,1.46
106,22,1,1.586
107,10,5,3.306
108,17,1,1.612
109,20,10,246.512
110,14,3,2.302
111,21,1,1.598
112,16,9,9.094
113,14,2,1.9
114,11,1,1.526
115,24,0,1.574
116,18,8,9.684
117,19,4,2.8
118,14,6,4.874
119,15,1,1.52
120,14,11,301.078
121,23,7,20.474
122,12,5,3.746
123,22,1,1.586
124,10,10,363.364
125,20,3,2.546
126,14,1,1.46
127,17,9,10.152
128,21,2,2.06
129,16,1,1.598
130,14,8,6.086
131,11,0,1.526
132,24,4,2.708
133,18,6,7.51
134,19,1,1.604
135,14,11,301.078
136,15,7,6.39
137,14,5,4.678
138,23,1,1.572
139,12,10,328.816
140,22,3,2.5
141,14,1,1.46
142,10,9,6.246
143,20,2,2.088
144,17,1,1.612
145,21,0,1.604
146,14,8,6.086
147,16,4,2.77
148,11,6,3.57
149,24,1,1.57
150,18,11,279.692
151,14,5,4.678
152,19,7,10.05
153,15,1,1.52
154,14,10,301.488
155,23,3,2.478
156,12,1,1.542
157,22,9,34.292
158,14,1,1.46
159,10,2,2.146
160,20,8,14.64
161,17,0,1.606
162,21,4,2.768
163,14,1,1.46
164,16,6,5.77
165,13,11,315.078
166,11,7,5.078
167,24,5,7.154
168,14,1,1.46
169,18,10,279.698
170,19,3,2.552
171,15,1,1.52
172,14,9,7.404
173,23,1,1.572
174,12,2,1.988
175,22,0,1.596
176,14,8,6.086
177,10,4,3.02
178,20,1,1.636
179,17,6,6.34
180,14,11,301.078
181,21,7,15.806
182,13,1,1.514
183,16,5,5.392
184,11,10,343.594
185,24,1,1.57
186,14,3,2.302
187,18,9,11.954
188,19,1,1.604
189,15,2,1.972
190,14,8,6.086
191,23,0,1.556
192,12,1,1.542
193,14,4,2.894
194,22,6,10.266
195,10,11,363.346
196,20,1,1.636
197,17,7,7.636
198,14,5,4.678
199,21,1,1.598
200,13,10,313.652
201,16,3,2.508
202,11,9,6.286
203,14,1,1.46
204,24,2,2.04
205,18,0,1.628
206,19,8,11.508
207,14,1,1.46
208,15,4,2.834
209,23,6,10.22
210,12,11,328.552
211,14,1,1.46
212,22,7,19.626
213,10,5,3.306
214,20,1,1.636
215,17,10,307.144
216,14,3,2.302
217,21,9,23.614
218,13,1,1.514
219,16,2,2.026
220,14,1,1.46
221,11,8,5.042
222,24,0,1.574
223,18,4,2.824
224,19,6,9.336
225,14,11,301.078
226,14,1,1.46
227,14,1,1.46
228,14,1,1.46
229,14,1,1.46
230,14,1,1.46
231,14,1,1.46
232,14,1,1.46
233,15,1,1.52
234,14,1,1.46
235,23,1,1.572
236,12,7,5.266
237,14,5,4.678
238,22,1,1.586
239,10,10,363.364
240,20,3,2.546
241,17,1,1.612
242,14,9,7.404
243,21,2,2.06
244,13,1,1.514
245,16,0,1.59
246,14,8,6.086
247,11,4,3.04
248,24,1,1.57
249,18,6,7.51
250,14,11,301.078
251,19,7,10.05
252,15,1,1.52
253,14,5,4.678
254,23,10,318.954
255,12,1,1.542
