Iteration,new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,1,1,1,2,1,1,512,5,337.4748
1,1,0,2,1,0,1,2048,5,337.4748
2,1,0,2,0,0,1,512,0,165.605
3,1,1,1,1,0,0,1024,5,337.4748
4,0,1,2,2,0,0,4096,5,337.4748
5,0,0,2,1,1,0,512,9,337.4748
6,0,1,2,0,1,1,512,0,31.4334
7,1,1,2,1,1,1,512,1,337.4748
8,0,2,2,0,0,0,2048,9,165.4448
9,0,2,1,1,0,0,512,5,337.4748
10,1,0,1,0,1,1,512,5,337.4748
11,0,1,1,0,0,0,4096,1,337.4748
12,0,1,2,1,0,1,512,9,337.4748
13,0,1,2,0,1,0,512,0,31.0946
14,1,0,2,1,1,0,512,0,164.8182
15,0,2,1,0,1,1,2048,9,166.9416
16,0,1,1,1,1,1,1024,9,337.4748
17,1,1,1,0,0,0,4096,0,32.509
18,1,2,1,1,1,1,512,0,337.4748
19,1,1,2,0,1,1,2048,0,32.7946
20,0,2,1,0,1,1,512,1,166.5828
21,1,2,1,1,1,0,2048,5,337.4748
22,1,1,2,1,1,0,1024,9,337.4748
23,0,2,2,2,0,0,512,1,164.9902
24,1,1,1,1,0,0,512,5,337.4748
25,1,2,2,1,0,1,4096,5,167.7292
26,1,2,1,2,1,0,2048,1,337.4748
27,1,0,2,1,1,1,1024,5,337.4748
28,1,0,1,2,1,1,2048,5,337.4748
29,1,2,1,1,1,1,4096,0,337.4748
30,0,1,2,0,1,0,512,0,31.0946
31,0,1,2,0,1,0,512,0,31.0946
32,0,1,2,0,1,0,512,0,31.0946
33,0,1,2,0,1,0,1024,0,31.4174
34,0,1,2,0,1,0,512,0,31.0946
35,0,1,2,0,1,0,512,0,31.0946
36,0,1,2,2,1,0,512,0,30.8186
37,0,1,2,2,1,0,1024,0,31.0888
38,0,1,2,2,1,0,1024,0,31.0888
39,0,0,2,2,1,0,1024,0,161.9528
40,0,1,2,2,1,0,1024,0,31.0888
41,0,1,2,2,1,0,1024,1,337.4748
42,0,0,2,2,1,0,1024,0,161.9528
43,0,1,2,2,0,0,4096,9,337.4748
44,0,1,2,2,1,0,1024,0,31.0888
45,0,1,2,2,1,0,1024,0,31.0888
46,0,0,2,2,0,0,4096,1,337.4748
47,0,1,2,2,1,0,1024,9,337.4748
48,0,1,2,2,1,0,2048,0,31.2782
49,0,1,2,2,0,0,1024,0,31.2602
50,0,0,2,2,1,0,4096,9,337.4748
51,0,1,2,2,1,0,512,0,30.8186
52,0,1,2,2,0,0,512,1,337.4748
53,0,1,2,2,1,0,512,0,30.8186
54,0,0,2,2,1,1,512,5,337.4748
55,0,2,1,2,0,0,512,9,337.4748
56,0,1,2,2,1,0,512,0,30.8186
57,0,1,2,2,1,1,512,1,337.4748
58,0,2,1,2,1,0,512,5,337.4748
59,1,1,2,2,0,1,2048,0,32.4974
60,0,0,1,1,1,0,512,9,337.4748
61,1,1,2,2,1,0,512,0,31.1244
62,0,2,2,2,1,1,2048,5,165.6028
63,0,1,1,1,0,0,512,1,337.4748
64,1,1,2,2,1,0,4096,0,31.862
65,0,2,2,2,1,1,512,0,337.4748
66,0,0,1,1,1,0,512,0,337.4748
67,1,1,2,0,0,0,2048,5,337.4748
68,0,1,2,2,1,0,512,9,337.4748
69,0,1,2,1,1,1,4096,0,31.9532
70,1,2,1,0,1,0,512,1,167.8962
71,0,1,2,2,1,0,512,0,30.8186
72,0,0,2,2,0,0,2048,0,165.8586
73,0,1,2,0,1,1,512,5,337.4748
74,1,1,1,1,1,0,4096,0,337.4748
75,0,2,2,2,1,0,512,9,165.94
76,0,1,2,2,0,0,512,1,337.4748
77,0,0,2,0,1,1,2048,0,165.9408
78,1,1,1,2,1,0,512,0,337.4748
79,0,1,2,1,1,0,4096,5,337.4748
80,0,2,2,2,0,0,512,0,337.4748
81,0,1,2,2,1,1,512,9,337.4748
82,1,0,1,0,1,0,2048,1,337.4748
83,0,1,2,2,1,0,4096,0,31.3372
84,0,1,2,2,0,0,512,0,31.1458
85,0,2,2,1,1,0,512,0,337.4748
86,1,1,2,2,1,1,512,5,337.4748
87,0,0,1,0,1,0,2048,9,337.4748
88,0,1,2,2,0,0,1024,1,337.4748
89,0,1,2,2,1,0,4096,0,31.3372
90,0,2,2,1,1,1,512,0,337.4748
91,1,1,1,2,1,0,512,0,337.4748
92,0,0,2,2,0,0,512,5,337.4748
93,0,1,2,0,1,0,1024,9,337.4748
94,0,1,2,2,1,1,2048,1,337.4748
95,1,1,1,1,1,0,512,0,337.4748
96,0,2,2,2,0,0,4096,0,337.4748
97,0,0,2,2,1,0,512,0,165.7538
98,0,1,2,0,1,1,1024,5,337.4748
99,1,1,1,2,1,0,512,9,337.4748
100,0,1,2,1,0,0,2048,0,31.6962
101,0,1,2,2,1,0,512,0,30.8186
102,0,1,2,2,1,0,512,0,30.8186
103,0,1,2,2,1,0,512,0,30.8186
104,0,1,2,2,1,0,512,0,30.8186
105,0,1,2,2,1,0,512,0,30.8186
106,0,1,2,2,1,0,512,0,30.8186
107,0,1,2,2,1,0,512,0,30.8186
108,0,1,2,2,1,0,512,0,30.8186
109,0,1,2,2,1,0,512,0,30.8186
110,0,1,2,2,1,0,512,0,30.8186
111,0,1,2,2,1,0,512,1,337.4748
112,0,1,2,2,1,0,512,0,30.8186
113,0,2,2,2,1,0,4096,0,337.4748
114,0,1,2,2,1,0,512,0,30.8186
115,0,0,2,0,1,0,1024,5,337.4748
116,0,1,2,2,1,0,512,9,337.4748
117,0,1,2,2,1,1,512,0,31.6432
118,1,2,1,1,1,0,2048,1,337.4748
119,0,1,2,2,1,0,4096,0,31.3372
120,0,0,2,2,0,0,512,0,161.9756
121,0,1,2,0,1,1,1024,5,337.4748
122,1,1,1,2,1,0,512,0,337.4748
123,0,1,2,1,1,0,512,9,337.4748
124,0,2,2,2,0,0,2048,1,165.2856
125,0,1,2,2,1,0,512,0,30.8186
126,0,0,2,0,1,1,4096,0,164.3484
127,1,1,1,2,1,0,512,0,337.4748
128,0,1,2,2,1,0,1024,5,337.4748
129,0,2,2,1,0,0,512,9,164.7606
130,0,1,2,2,1,1,2048,0,31.832
131,1,0,1,2,1,0,512,1,337.4748
132,0,1,2,0,1,0,4096,0,31.6904
133,0,1,2,2,0,0,512,0,31.1458
134,0,1,2,2,1,0,512,5,337.4748
135,0,2,2,1,1,1,1024,0,337.4748
136,1,1,1,2,1,0,512,9,337.4748
137,0,0,2,2,1,0,2048,0,164.9596
138,0,1,2,0,0,0,512,1,337.4748
139,0,1,2,2,1,0,4096,0,31.3372
140,0,1,2,2,1,1,512,0,31.6432
141,1,1,1,1,1,0,512,5,337.4748
142,0,2,2,2,1,0,1024,0,337.4748
143,0,0,2,2,0,0,512,9,337.4748
144,0,1,2,0,1,0,2048,0,31.6254
145,0,1,2,2,1,1,512,1,337.4748
146,1,1,1,2,1,0,4096,0,337.4748
147,0,1,2,1,1,0,512,0,31.03
148,0,2,2,2,0,0,512,0,337.4748
149,0,1,2,2,1,0,1024,5,337.4748
150,0,0,2,0,1,1,512,9,337.4748
151,1,1,1,2,1,0,512,0,337.4748
152,0,1,2,2,1,0,2048,1,337.4748
153,0,1,2,1,0,0,512,0,30.7448
154,0,2,2,1,0,0,4096,0,337.4748
155,0,1,2,1,0,0,512,0,30.7448
156,0,1,2,1,0,0,512,0,30.7448
157,0,0,2,1,0,1,1024,0,165.681
158,1,1,1,1,0,0,512,5,337.4748
159,0,1,2,1,0,0,512,9,337.4748
160,0,1,2,1,0,0,2048,0,31.6962
161,0,1,2,1,0,0,512,1,337.4748
162,0,2,2,1,0,1,4096,0,337.4748
163,1,0,1,1,0,0,512,0,337.4748
164,0,1,2,1,0,0,1024,0,31.283
165,0,1,2,1,0,0,512,5,337.4748
166,0,1,2,1,0,0,512,9,337.4748
167,0,1,2,1,0,1,2048,0,32.4956
168,1,2,2,1,0,0,512,1,165.4328
169,0,1,1,1,0,0,4096,0,337.4748
170,0,0,2,1,0,0,512,0,165.9226
171,0,1,2,1,0,0,1024,0,31.283
172,0,1,2,1,0,0,512,5,337.4748
173,1,1,2,1,0,1,512,9,337.4748
174,0,2,1,1,0,0,512,0,337.4748
175,0,1,2,1,0,0,2048,1,337.4748
176,0,0,2,1,0,0,512,0,165.9226
177,0,1,2,1,0,0,4096,0,32.8414
178,0,1,2,1,0,1,512,0,31.4648
179,1,1,1,1,0,0,1024,5,337.4748
180,0,2,2,1,0,0,512,9,164.7606
181,0,1,2,1,0,0,512,0,30.7448
182,0,0,2,1,0,0,2048,1,337.4748
183,0,1,2,1,0,1,512,0,31.4648
184,1,1,1,1,0,0,4096,0,337.4748
185,0,1,2,1,0,0,512,0,30.7448
186,0,2,2,1,0,0,1024,5,166.7564
187,0,1,2,1,0,0,512,9,337.4748
188,0,0,2,1,0,1,512,0,165.268
189,1,1,1,1,0,0,2048,0,337.4748
190,0,1,2,1,0,0,512,1,337.4748
191,0,1,2,1,0,0,4096,0,32.8414
192,0,2,2,1,0,0,512,0,337.4748
193,0,1,2,1,0,1,1024,5,337.4748
194,1,0,1,1,0,0,512,0,337.4748
195,0,1,2,0,0,0,512,9,337.4748
196,0,1,2,1,0,0,2048,0,31.6962
197,0,1,2,1,0,0,512,1,337.4748
198,0,2,2,1,0,1,4096,0,337.4748
199,1,1,1,1,0,0,512,0,337.4748
200,0,0,2,0,0,0,1024,5,337.4748
201,0,1,2,1,0,0,512,0,30.7448
202,0,1,2,1,0,0,512,9,337.4748
203,0,1,2,1,0,1,2048,0,32.4956
204,1,2,1,0,0,0,512,1,166.3008
205,0,1,2,1,0,0,4096,0,32.8414
206,0,0,2,1,0,0,512,0,165.9226
207,0,1,2,1,0,0,1024,5,337.4748
208,0,1,2,1,0,1,512,0,31.4648
209,1,1,1,0,0,0,512,9,337.4748
210,0,2,2,1,0,0,2048,0,337.4748
211,0,1,2,1,0,0,512,1,337.4748
212,0,0,2,1,0,0,4096,0,164.4548
213,0,1,2,1,0,1,512,0,31.4648
214,1,1,1,0,0,0,1024,5,337.4748
215,0,1,2,1,0,0,512,0,30.7448
216,0,1,2,1,0,0,512,9,337.4748
217,0,2,2,1,0,0,2048,0,337.4748
218,0,1,2,1,0,1,512,1,337.4748
219,1,0,2,0,0,0,4096,0,164.1756
220,0,1,1,1,0,0,512,0,337.4748
221,0,1,2,1,0,0,512,0,30.7448
222,0,1,2,1,0,0,1024,5,337.4748
223,0,2,2,1,0,0,512,9,164.7606
224,0,1,2,0,0,1,512,0,31.1982
225,1,0,1,1,0,0,2048,1,337.4748
226,0,1,2,1,0,0,512,0,30.7448
227,0,1,2,1,0,0,512,0,30.7448
228,0,1,2,1,0,0,512,0,30.7448
229,0,1,2,1,0,0,512,0,30.7448
230,0,1,2,1,0,0,512,0,30.7448
231,0,1,2,1,0,0,512,0,30.7448
232,0,1,2,1,0,0,512,0,30.7448
233,0,1,2,1,0,0,512,0,30.7448
234,0,1,2,1,0,0,512,0,30.7448
235,0,1,2,1,0,0,512,0,30.7448
236,0,1,2,1,0,0,512,0,30.7448
237,0,1,2,1,0,0,512,0,30.7448
238,0,1,2,1,0,0,512,0,30.7448
239,0,1,2,1,0,0,512,0,30.7448
240,0,1,2,1,0,0,512,0,30.7448
241,0,1,2,1,0,0,512,0,30.7448
242,0,1,2,1,0,0,512,0,30.7448
243,0,1,2,1,0,0,512,0,30.7448
244,0,1,2,1,0,0,512,0,30.7448
245,0,1,2,1,0,0,4096,0,32.8414
246,0,1,2,1,0,0,512,0,30.7448
247,0,1,2,0,0,0,1024,5,337.4748
248,0,1,2,1,0,0,512,0,30.7448
249,0,1,2,1,0,0,512,9,337.4748
250,0,2,2,1,0,0,2048,0,337.4748
251,0,1,2,1,0,0,512,1,337.4748
252,0,0,2,1,0,0,512,0,165.9226
253,0,1,2,0,0,1,4096,0,32.164
254,1,1,2,1,0,0,512,0,31.3498
255,0,1,1,1,0,0,1024,5,337.4748
256,0,1,2,1,0,0,512,0,30.7448
257,0,2,2,1,0,0,512,9,164.7606
258,0,1,2,0,0,0,2048,0,31.6514
259,0,0,2,1,0,1,512,1,337.4748
260,1,1,1,1,0,0,4096,0,337.4748
261,0,1,2,1,0,0,512,0,30.7448
262,0,1,2,1,0,0,512,0,30.7448
263,0,2,2,1,0,0,1024,5,166.7564
264,0,1,2,0,0,0,512,9,337.4748
265,0,0,2,1,0,1,512,0,165.268
266,1,1,1,1,0,0,2048,0,337.4748
267,0,1,2,1,0,0,512,1,337.4748
268,0,1,2,1,0,0,4096,0,32.8414
269,0,1,2,1,0,0,512,0,30.7448
270,0,2,2,0,0,1,1024,0,337.4748
271,1,1,2,1,0,0,512,5,337.4748
272,0,0,1,1,0,0,512,9,337.4748
273,0,1,2,1,0,0,512,0,30.7448
274,0,1,2,1,0,0,2048,0,31.6962
275,0,1,2,1,0,0,512,1,337.4748
276,0,1,2,0,0,1,4096,0,32.164
277,1,2,2,1,0,0,512,0,337.4748
278,0,1,1,1,0,0,512,0,337.4748
279,0,0,2,1,0,0,1024,5,337.4748
280,0,1,2,1,0,0,512,9,337.4748
281,0,1,2,1,0,0,512,0,30.7448
282,0,1,2,0,0,0,2048,0,31.6514
283,0,1,2,1,0,1,512,1,337.4748
284,1,2,1,1,0,0,4096,0,337.4748
285,0,1,2,1,0,0,512,0,30.7448
286,0,1,2,1,0,0,512,0,30.7448
287,0,0,2,1,0,0,1024,5,337.4748
288,0,1,2,1,0,0,512,0,30.7448
289,0,1,2,0,0,1,512,9,337.4748
290,1,1,1,1,0,0,2048,0,337.4748
291,0,2,2,1,0,0,512,1,165.4646
292,0,1,2,1,0,0,512,0,30.7448
293,0,1,2,1,0,0,4096,0,32.8414
294,0,0,2,1,0,0,512,0,165.9226
295,0,1,2,0,0,1,1024,5,337.4748
296,1,1,1,1,0,0,512,0,337.4748
297,0,1,2,1,0,0,512,9,337.4748
298,0,1,2,1,0,0,2048,0,31.6962
299,0,2,2,1,0,0,512,1,165.4646
