Iteration,ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,69095.4
1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,70354.0
2,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,65484.4
3,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,80446.0
4,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,61889.2
5,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,81605.0
6,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,80608.6
7,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,86508.2
8,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,79077.6
9,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,70208.8
10,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,97630.6
11,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,80489.0
12,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,70012.4
13,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,78944.8
14,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,71184.8
15,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,73922.6
16,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,96025.8
17,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,76822.0
18,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,83899.6
19,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,82669.6
20,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,81880.8
21,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,81491.0
22,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,89462.8
23,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,81980.2
24,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,80064.8
25,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,66844.0
