Iteration,WindowSize,CompressionLevel,Performance
0,23,4,2.726
1,13,4,2.972
2,22,3,2.5
3,21,9,23.614
4,11,11,343.996
5,14,11,301.078
6,20,10,246.512
7,24,10,392.744
8,22,5,7.198
9,11,4,3.04
10,10,1,1.666
11,11,2,1.998
12,21,5,7.272
13,13,4,2.972
14,12,1,1.542
15,17,8,8.454
16,21,3,2.512
17,17,6,6.34
18,16,1,1.598
19,18,2,2.094
20,12,2,1.988
21,15,7,6.39
22,10,4,3.02
23,16,2,2.026
24,16,4,2.77
25,14,9,7.404
26,11,6,3.57
27,15,6,5.306
28,15,1,1.52
29,13,3,2.37
30,12,1,1.542
31,19,0,1.614
32,23,1,1.572
33,12,1,1.542
34,15,8,6.738
35,20,1,1.636
36,24,7,20.228
37,15,0,1.534
38,15,0,1.534
39,15,0,1.534
40,22,11,259.594
41,19,0,1.614
42,18,10,279.698
43,15,9,8.084
44,23,5,7.178
45,14,0,1.472
46,14,11,301.078
47,14,10,301.488
48,14,8,6.086
49,20,3,2.546
50,24,5,7.154
51,21,7,15.806
52,10,0,1.662
53,17,9,10.152
54,22,1,1.586
55,13,11,315.078
56,14,10,301.488
57,18,6,7.51
58,11,4,3.04
59,19,2,2.1
60,14,3,2.302
61,23,0,1.556
62,16,8,7.548
63,21,1,1.598
64,10,7,4.874
65,17,5,5.886
66,20,1,1.636
67,24,9,108.602
68,13,0,1.514
69,13,0,1.514
70,13,0,1.514
71,13,0,1.514
72,13,0,1.514
73,22,6,10.266
74,11,4,3.04
75,12,2,1.988
76,14,0,1.472
77,14,0,1.472
78,14,11,301.078
79,14,3,2.302
80,14,8,6.086
81,18,10,279.698
82,16,7,6.998
83,19,5,7.372
84,14,0,1.472
85,23,9,63.68
86,21,6,10.46
87,10,4,3.02
88,17,2,2.102
89,20,0,1.63
90,24,11,394.158
91,14,3,2.302
92,12,10,328.816
93,22,8,25.432
94,11,0,1.526
95,14,7,5.896
96,18,5,6.714
97,16,9,9.094
98,19,0,1.614
99,23,6,10.22
100,14,4,2.894
101,14,0,1.472
102,14,0,1.472
103,14,0,1.472
104,14,0,1.472
105,21,0,1.604
106,14,0,1.472
107,10,2,2.146
108,17,0,1.606
109,20,11,246.08
110,24,3,2.478
111,14,8,6.086
112,12,10,328.816
113,22,0,1.596
114,11,7,5.078
115,15,5,5.072
116,14,0,1.472
117,18,9,11.954
118,16,6,5.77
119,14,0,1.472
120,19,4,2.8
121,23,1,1.572
