Iteration,spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0.011931507040214492
1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0.005973075945524707
2,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0.992036358991462
3,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0.9920600819720395
4,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0.018855180498870177
5,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0.9950432225138623
6,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0.9930631413127438
7,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0.9940383550749958
8,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0.9950562111377581
9,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0.012931762959789187
10,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0.9930482005128042
11,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0.9950304693953609
12,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0.9950445610316285
13,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0.01788619449666335
14,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0.002993657107566035
15,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0.005955103629500043
16,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0.9940353943816145
17,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0.014891140280223874
18,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0.011906472883382105
19,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0.00694883307681049
20,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0.9940357698278813
21,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0.9940158158187644
22,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0.9940492589237447
23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.006938495541760759
24,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0.9940224376083305
25,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0.00892859875594013
26,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0.9940329487167677
27,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0.006957485076041306
28,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0.005937426292906912
29,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0.9920471548951981
30,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.18172223383273473
31,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0.9940498287114933
32,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.006947933500509755
33,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0.9940053870796625
34,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0.9940245067280629
35,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0.01386672462635411
36,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0.9930587071100078
37,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0.9940385994323295
