Iteration,topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
0,2,1,2,10,10,0,1,1000,1024,100,2,29,1.050505211751782e-05
1,4,10,2,10,10,0,1,1000,1024,10000,2,29,0.14170437276873787
2,4,10,2,10,10,1,1,10,1024,10000,2,0,3.0375714925949807e-05
3,4,1,4,10,1,1,1,1000,512,10000,5,0,0.014670562436480156
4,2,1,2,10,10,0,1,10,512,10000,5,29,1.5179376303986757e-05
5,4,10,2,10,10,1,1,1000,512,100,5,0,2.366939600359203e-05
6,4,10,4,1000000,1,1,1,1000,512,100,2,29,1.78806387307772e-05
7,4,10,4,1000000,1,1,1000,10,512,100,2,0,0.007230939330107549
8,2,10,4,1000000,1,0,1,10,1024,10000,5,0,3.245379943262479e-05
9,4,10,2,10,10,0,1,10,1024,100,2,0,0.14361501723512357
10,4,10,2,10,1,1,1000,10,512,100,5,29,0.20577540367156882
11,2,10,4,10,10,0,1000,10,512,10000,5,29,3.985475197655589e-05
12,4,1,4,10,10,1,1,10,512,10000,2,29,2.2695703974240465e-05
13,2,10,2,10,10,1,1000,1000,1024,10000,5,29,0.27536007925146677
14,4,1,2,1000000,10,1,1000,1000,1024,100,5,29,2.618908891259263e-05
15,2,10,2,10,1,1,1000,10,512,100,2,29,0.7732438695245785
16,4,10,2,1000000,1,1,1,1000,1024,10000,2,29,0.0029771707257040467
17,4,1,4,10,10,1,1,1000,1024,100,2,29,8.806694283541804e-07
18,2,1,4,1000000,1,1,1000,1000,512,100,2,0,1.6523634139137238e-09
19,4,1,4,10,1,0,1000,1000,512,10000,5,29,0.24198066411968672
20,2,1,2,1000000,1,1,1000,10,512,100,5,29,1.2562672492498804e-05
21,2,1,4,1000000,1,0,1000,1000,1024,10000,5,0,0.00016807722529761732
22,4,10,2,1000000,10,1,1000,1000,1024,10000,5,0,1.7038176693522025e-05
23,4,10,2,10,10,1,1000,10,512,10000,5,29,1.992399081698411e-06
24,2,10,2,1000000,1,1,1,1000,512,10000,5,0,0.0010206418879142583
25,2,1,4,10,10,0,1000,1000,512,10000,5,0,0.3161348543027345
26,2,10,4,10,10,0,1000,1000,1024,100,2,0,1.578684931058761e-06
27,2,1,4,1000000,10,0,1,1000,512,10000,2,29,9.98226206813714e-06
28,4,10,4,10,1,1,1000,10,1024,100,5,29,0.21330071266991216
29,2,10,4,10,1,1,1,10,512,100,5,29,0.014962368272319514
30,4,10,2,1000000,10,0,1,1000,1024,100,2,0,2.1605840761262034e-05
31,4,1,4,1000000,10,0,1000,1000,1024,10000,5,0,9.958430515651229e-06
32,2,10,2,10,1,0,1000,10,512,100,5,0,0.2730718640240099
33,2,1,4,1000000,10,1,1,10,512,10000,2,0,1.3850716880191338e-05
34,4,10,2,1000000,1,0,1000,1000,1024,100,5,29,7.021561138572466e-06
35,4,10,2,10,10,0,1000,1000,512,10000,2,0,0.518981609455041
36,4,10,2,1000000,10,1,1000,10,512,10000,2,29,1.2240519213802718e-05
37,2,1,2,10,1,0,1000,1000,512,10000,2,29,0.8631040846162417
38,4,1,2,1000000,10,1,1,1000,512,100,5,29,5.313979577292748e-06
39,2,10,4,10,1,1,1,10,1024,10000,5,29,1.1949984944216228e-05
40,4,10,2,10,1,1,1,10,1024,10000,2,29,2.3017311265238194e-05
41,4,10,2,10,10,1,1,1000,512,10000,2,0,0.1426451202936186
42,2,10,2,1000000,10,1,1000,1000,1024,100,2,29,1.9052223197746624e-05
43,4,10,2,1000000,1,1,1000,10,512,100,2,0,0.007180668575664251
44,2,1,2,1000000,10,0,1,1000,1024,100,5,29,8.695224210739227e-06
45,4,10,2,10,10,0,1000,10,1024,10000,2,29,1.924595052912661e-05
46,2,10,2,1000000,10,1,1,10,512,100,2,29,0.0
47,4,1,4,1000000,1,0,1,1000,1024,100,5,29,2.8661966851499696e-05
48,2,1,2,10,1,1,1000,10,512,10000,5,29,4.0708604839061916e-05
49,2,10,4,10,1,0,1,1000,512,100,2,0,1.4027419460348764e-05
50,4,10,2,10,1,1,1000,1000,1024,10000,5,0,0.20513548473486462
51,4,1,4,1000000,10,0,1,10,512,100,5,29,0.00012330464483626443
