Iteration,WindowSize,CompressionLevel,Performance
0,23,1,1.572
1,22,9,34.292
2,23,0,1.556
3,17,3,2.564
4,15,4,2.834
5,15,8,6.738
6,14,2,1.9
7,16,6,5.77
8,22,7,19.626
9,24,10,392.744
10,11,7,5.078
11,16,4,2.77
12,19,10,258.558
13,11,3,2.476
14,14,6,4.874
15,15,5,5.072
16,16,0,1.59
17,17,7,7.636
18,11,2,1.998
19,16,6,5.77
20,17,10,307.144
21,12,2,1.988
22,14,5,4.678
23,19,7,10.05
24,11,0,1.526
25,16,6,5.77
26,24,3,2.478
27,18,0,1.628
28,10,10,363.364
29,10,11,363.346
30,23,0,1.556
31,13,1,1.514
32,13,1,1.514
33,13,1,1.514
34,13,1,1.514
35,20,1,1.636
36,13,9,6.862
37,21,1,1.598
38,13,8,5.62
39,13,1,1.514
40,22,11,259.594
41,21,1,1.598
42,20,9,17.4
43,13,4,2.972
44,12,8,5.318
45,18,1,1.63
46,23,1,1.572
47,15,5,5.072
48,13,4,2.972
49,24,3,2.478
50,22,11,259.594
51,19,2,2.1
52,13,1,1.514
53,17,9,10.152
54,14,8,6.086
55,12,7,5.266
56,15,5,5.072
57,18,6,7.51
58,10,10,363.364
59,20,1,1.636
60,13,3,2.37
61,21,2,2.06
62,11,4,3.04
63,23,1,1.572
64,24,7,20.228
65,19,0,1.614
66,17,6,6.34
67,16,11,284.296
68,14,1,1.46
69,14,10,301.488
70,14,9,7.404
71,14,5,4.678
72,14,1,1.46
73,14,8,6.086
74,14,3,2.302
75,14,2,1.9
76,14,1,1.46
77,22,0,1.596
78,10,4,3.02
79,12,1,1.542
80,14,7,5.896
81,11,11,343.996
82,18,6,7.51
83,15,1,1.52
84,20,10,246.512
85,21,9,23.614
86,23,5,7.178
87,16,8,7.548
88,24,1,1.57
89,19,3,2.552
90,14,2,1.9
91,17,1,1.612
92,22,0,1.596
93,10,4,3.02
94,14,7,5.896
95,12,1,1.542
96,15,11,292.192
97,11,6,3.57
98,18,10,279.698
99,20,9,17.4
100,21,1,1.598
101,14,1,1.46
102,14,1,1.46
103,14,1,1.46
104,14,1,1.46
105,14,1,1.46
106,23,1,1.572
107,14,5,4.678
108,16,8,7.548
109,24,3,2.478
110,19,1,1.604
111,17,2,2.102
112,14,0,1.472
113,22,4,2.748
114,14,1,1.46
115,10,7,4.874
116,12,11,328.552
117,14,6,4.874
118,11,1,1.526
119,18,10,279.698
120,15,9,8.084
121,20,5,7.45
122,21,1,1.598
123,14,8,6.086
124,23,3,2.478
125,16,2,2.026
126,24,1,1.57
127,19,0,1.614
128,17,4,2.848
129,14,1,1.46
130,22,7,19.626
131,14,11,301.078
132,10,6,3.386
133,12,1,1.542
134,14,10,301.488
135,11,9,6.286
136,15,1,1.52
137,18,5,6.714
138,20,8,14.64
139,21,3,2.512
140,14,1,1.46
141,23,2,2.032
142,13,0,1.514
143,16,4,2.77
144,24,1,1.57
145,19,7,10.05
146,14,11,301.078
147,17,6,6.34
148,22,1,1.586
149,14,10,301.488
150,10,9,6.246
