Iteration,spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.00793396390722006
1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0.9940405125167603
2,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0.010940105921527781
3,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0.005947765776331314
4,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0.00497284389877624
5,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0.9940569565177622
6,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0.010930622341140627
7,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0.01787310680001573
8,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0.9940419220676475
9,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0.006963765131697559
10,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0.9970279202305624
11,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0.10525686847869631
12,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0.9950509340929127
13,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0.003980746141111723
14,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0.9940361555637859
15,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0.9980078454251924
16,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.0010103002634537285
17,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0.9940518526690617
18,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0.9950334451626246
19,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0.9950468767300767
20,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0.0069587347137246335
21,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0.992059043999552
22,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0.0029625842133148257
23,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0.015904696691167095
24,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0009945143824966753
25,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0.006951337014451886
26,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0.01887188508687119
27,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0.9920522341467146
28,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0.9970229448654557
29,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0.9930622981559114
30,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0.9920594327412099
31,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0.0009883410358652609
32,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0.023813492656851155
33,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0.9920713846745357
